"Y_date","Y_pred","Y_true","ret_1w_DXY","ret_1w_FF_HML","ret_1w_FF_Rm_Rf","ret_1w_FF_SMB","ret_1w_Gld","ret_1w_Oil","ret_1w_tgt","ret_2q_DXY","ret_2q_Oil","ret_2q_tgt","sprd_2y10y","sprd_2y5y","vol_DXY","vol_Oil","vol_tgt"
"3/9/1993",0.00285631138831377,0,0.0387770492626096,0.0844400681849117,0.0288020855211106,0.0063955071056906,0.158565666569169,0.022930849816299,0.0637965961068827,0.0734575924559492,0.0954842961569214,0.0361277117588215,0.0750856131717242,0.00603737149589515,0.0989682700119894,0.075989729001681,0.135141593380345
"10/9/1993",0.00345115945674479,0,0.0387487563869525,0.0844082914471738,0.0287944501230499,0.00639506108099515,0.158626613745716,0.0229293492655831,0.063790330143166,0.0734252221444337,0.0954503240573961,0.0361316348489953,0.075048030039263,0.00605061021817725,0.0989726493385731,0.0759796656901164,0.135249011470409
"17/9/1993",0.00307177263312042,0,0.0387459866969869,0.0843756930416174,0.0287865222785103,0.00639454741358348,0.158685611476004,0.0229275647482558,0.0637833559866282,0.0733921504788644,0.0954153097571562,0.0361351597703623,0.0750097556924533,0.00606375425811608,0.0989758400493024,0.0759688535418689,0.13533989481029
"24/9/1993",0.00554243987426162,0,0.0387472488132563,0.0846444637009429,0.0287772976016279,0.00639540116343319,0.158133477514137,0.0228548692900923,0.0637877051511262,0.0733943212519089,0.0955517884600944,0.0361353240681298,0.0748912193800241,0.00608101055258725,0.0989962163181644,0.0759674878326174,0.135642168901857
"1/10/1993",0.00252343015745282,0,0.0387367726322231,0.0846128999515058,0.0287697556174512,0.00639494928355881,0.15819393437361,0.0228500596159634,0.0637813274171661,0.0733622783636753,0.0955181136895445,0.0361392013303737,0.0748541644264499,0.00609417599460463,0.0990005554117515,0.0759576290706382,0.135734182821484
"8/10/1993",0.00600959733128548,0,0.0413657125108087,0.0670632892798323,0.0355350921919601,0.0104121790362746,0.150514612466424,0.0139415964489467,0.0740937069092263,0.0482350439677346,0.140986411686018,0.018756860977318,0.116013643310886,0.00410137539980339,0.100364281244532,0.0772263944697659,0.101389800100469
"15/10/1993",0.00275007053278387,0,0.041361294631147,0.0673180339538016,0.035543766010648,0.0104067551827976,0.150134412543644,0.0139372332218494,0.0740836066971191,0.0482167974186676,0.141029689141926,0.0187526912220297,0.115997540315495,0.00411020770246575,0.10033983523234,0.0772227762856515,0.101545360440419
"22/10/1993",0.00485850777477026,0,0.0415052594817212,0.0668908928686145,0.0366998447386805,0.006567390367921,0.146291074700539,0.00802763458642002,0.0826861746957525,0.0484105972498254,0.136931094783409,0.0273772870429603,0.104003839955932,NA,0.103915980637153,0.0820433003652079,0.108649628525864
"29/10/1993",0.00259567005559802,0,0.0414969798760166,0.0668684334506543,0.0367088379629871,0.00656466600038726,0.146307021865866,0.00802769661594836,0.0826715637797675,0.0483898300362629,0.136872221611186,0.0273689515473991,0.103987945867425,NA,0.103915000530633,0.082033473205505,0.108787377649961
"5/11/1993",0.00248933443799615,0,0.0342712822568591,0.0719784624176319,0.0359891176410382,0.00618336076478171,0.16117030348778,0.0143300978713526,0.0793468470390955,0.0564628199015647,0.121416455508159,0.041825987252058,0.0801074368917311,0.00506501951627336,0.089273024518994,0.0867471577940529,0.115832627138628
"12/11/1993",0.00841268710792065,0,0.0342657330963192,0.0719500657510617,0.0359966012761337,0.00618102040643874,0.161192921495257,0.0143258440423638,0.0793325228330784,0.0564386406792945,0.121368389085366,0.0418264952671513,0.0800840912990438,0.00506242586892047,0.0892742818178158,0.0867362290109038,0.115964738070851
"19/11/1993",0.0039641372859478,0,0.033953179923777,0.0656609862503461,0.0410165894655699,0.00608669039953915,0.158267026509005,0.0148140822683394,0.0806087583319694,0.0549318497118276,0.126467216290526,0.04488514890456,0.0813349077143298,0.00994584457786611,0.0907179789884872,0.0809749084189101,0.110334832244948
"26/11/1993",0.00247510964982212,0,0.0339478510349707,0.0656384972987046,0.0410192615424878,0.00608461867725806,0.158286067413876,0.014809784632172,0.0805940643814012,0.0549087761848262,0.126416701205367,0.0448810353692177,0.0813151163611754,0.00994156036816491,0.0907208678402621,0.0809670850097146,0.110468712680402
"3/12/1993",0.003151097567752,0,0.0375438675107521,0.0657267004332405,0.0411580460161657,0.00609280962302971,0.158673159386326,0.0148304540840736,0.0804266114910203,0.0552324750673891,0.120550975650608,0.0454533188252849,0.081432458268868,0.00998852152564469,0.0908670622655427,0.0810958311609871,0.110927708691068
"10/12/1993",0.0026358412578702,0,0.0406437876001242,0.0676572764245878,0.0381188723379336,0.0102812279050122,0.178168217340759,0.0063725185953653,0.0633139615413549,0.05686094028723,0.103277239862029,0.0317408591482222,0.095899837374475,0.0046134260726141,0.0918061624396503,0.073130147896145,0.138115525174497
"17/12/1993",0.00263131852261722,0,0.0406507070598831,0.0677730026934416,0.0381371989421089,0.0102883901925872,0.177629306149418,0.00637376659287731,0.0633164258880774,0.0568477021507023,0.103322196304085,0.0318376668417036,0.0959270304367824,0.0046388217245363,0.0916123060520499,0.0731385587250354,0.138506920246711
"24/12/1993",0.00262788566760719,0,0.0406411946749279,0.067742474027222,0.0381434025028995,0.0102846290441108,0.177651854897967,0.00637373164800945,0.0633099279965796,0.0568247451772207,0.103282925109451,0.0318440066121225,0.09590051621141,0.0046470767551344,0.0916022895969981,0.073126851652187,0.138624374093761
