"Y_date","Y_pred","Y_true","ret_1w_DXY","ret_1w_Gld","ret_1w_Oil","ret_1w_tgt","ret_2q_DXY","ret_2q_Oil","ret_2q_tgt","sprd_2y10y","sprd_2y5y","vol_DXY","vol_Oil","vol_tgt"
"3/9/1993",0.0151844564825296,0,0.0170988473415861,0.0581042341125363,0.0219975445076335,0.135910060627968,0.0782951865147398,0.0636118135772775,0.150349871681885,0.0630515884405891,0.0388912974088069,0.208052918286599,0.0849309280094447,0.0797057094909333
"10/9/1993",0.00805398728698492,0,0.0236209977595755,0.045251302759609,0.0181514602417692,0.139588157710649,0.0714371382972803,0.0643991303579588,0.134422805633301,0.070998188117241,0.0360028484942121,0.222839749135383,0.0869318276328301,0.0863563938601906
"17/9/1993",0.010499351657927,0,0.0224848834535709,0.0576869954285456,0.00977545910050037,0.124017808121688,0.0747879478728166,0.0567198466570237,0.166872337843031,0.0421147878952753,0.0470522936597611,0.231676943051796,0.0843879717900063,0.0824227251259849
"24/9/1993",0.038236029446125,0,0.0226416425598843,0.0549924080708933,0.00382210972440285,0.129036561041189,0.0784681642872761,0.055999343634336,0.161977702408927,0.049076799335402,0.047944319582969,0.226705591753112,0.0898544780038211,0.0794808795977874
"1/10/1993",0.00815985258668661,0,0.0294717426233096,0.0525040054118344,0.0163602157325789,0.118483577832438,0.0758175677912599,0.0645460969741817,0.167966375395693,0.0426519331227526,0.0589657583580431,0.209315987229811,0.0874559377843036,0.0764608017437935
"8/10/1993",0.0450714156031609,0,0.0253388655051112,0.0569698967294207,0.0290792469251616,0.121220344829184,0.0572807323111832,0.0656725321073587,0.150056829799104,0.0544765029672947,0.0499481094592078,0.199125696650218,0.0902464088763831,0.100584833840373
"15/10/1993",0.00544488849118352,0,0.0249195027256312,0.0613865296737845,0.0199431097591705,0.121260585775998,0.0544098312228875,0.0618566638827646,0.15868487443834,0.0584060961420328,0.0518006860813235,0.209877961683075,0.0871402263846551,0.0903139322303383
"22/10/1993",0.0266762059181929,0,0.0311816667082466,0.0542555639626761,0.011691599402149,0.123752551896388,0.0631916282290207,0.0706936104137325,0.175425569519935,0.0527362281739091,0.0408829840082787,0.216099559044661,0.0893068046309643,0.0707822340100389
"29/10/1993",0.0777489542961121,0,0.0301251990477851,0.0666066543675735,0.0154807085648724,0.131836580715261,0.0704628686461352,0.066208098751428,0.151827826349788,0.0714014599376347,0.0349194351693068,0.198816107122583,0.0768205921154933,0.0854944692121382
"5/11/1993",0.018623985350132,0,0.0201168448889005,0.0495564276362042,0.0214624376078315,0.120911672666366,0.0854664695661429,0.0850838302954898,0.153809777973395,0.0635491602709688,0.0413374697389078,0.197587168277731,0.103711969534237,0.0574067715438269
"12/11/1993",0.00504746614024043,0,0.0201027900323852,0.0495609888053836,0.0214275233876016,0.119918817960492,0.0853303400167996,0.0851403603884887,0.153688817685204,0.0635316101955928,0.0413093255755034,0.197590702578454,0.105079544920703,0.057319178453392
"19/11/1993",0.0176089592278004,0,0.0326511590238962,0.0619871471779761,0.0222510143289142,0.121822488682672,0.0666503621645581,0.0932579098152389,0.140186281109975,0.0535316864370512,0.0289566476418258,0.211289470864006,0.102557023821723,0.0648588089321626
"26/11/1993",0.0169237405061722,0,0.0326043135561337,0.0619558324489818,0.0222326074397577,0.121753968299097,0.0664238900505306,0.0937617773157103,0.140044833645917,0.0535165696134347,0.0290389207908782,0.211250676301094,0.102667473658539,0.0647491368799264
"3/12/1993",0.0168464537709951,0,0.0237017823318871,0.0558130539760861,0.0275439738034453,0.115019031669957,0.0695207068994238,0.0729165984208416,0.165441321451801,0.05881907372434,0.0446892222821659,0.196738253519416,0.0876669421337038,0.0821300397869319
"10/12/1993",0.0664249062538147,0,0.0309586508209693,0.0579680652918644,0.0328597300888168,0.111542085555161,0.066136892328637,0.0751195197941281,0.166860676911623,0.0605791640671808,0.0347952320697495,0.197875490466039,0.0923047807420885,0.0729997118637422
"17/12/1993",0.021079221740365,1,0.0367692613523584,0.0594250108704627,0.0257134373979229,0.121052216348925,0.0670972503092607,0.0620151648649267,0.164729753665027,0.0557401626713957,0.0557566355987454,0.206067038263844,0.0926639198853884,0.0529701487717439
"24/12/1993",0.00608710711821914,0,0.0340401349311137,0.0849798705242319,0.0290095723938423,0.0939807476920225,0.0596850489063267,0.086222018569792,0.149990079268692,0.0214018695314767,0.0301377664580834,0.183760309591797,0.138159111758441,0.0886334703741812
"31/12/1993",0.056412860751152,0,0.0239310202437664,0.0576417861924757,0.0318013977344627,0.101116384798759,0.0830968151733013,0.0560786844662213,0.167563818247349,0.0605769674504019,0.0265432588872393,0.20201774345979,0.0970465641207556,0.0925855592254776
"7/1/1994",0.0564074665307999,0,0.0394519028372683,0.0817672871463024,0.0415127338251592,0.0840830836451512,0.090331850907109,0.0806787503600239,0.161488019852104,0.0380182408057286,0.00825554387196381,0.193238434960766,0.119055507577507,0.0621186442109167
"14/1/1994",0.133660048246384,0,0.0203636278496569,0.06376822339573,0.023612876506121,0.115566850271011,0.0646131120702655,0.0835650674857887,0.167974809059654,0.0566640327006087,0.0291070225329118,0.222229636224424,0.0905073585533915,0.0620273833504373
"21/1/1994",0.015053647570312,1,0.0410804122617104,0.0499440385766478,0.0264002640090043,0.107082539307239,0.0997186570726005,0.0719212882491969,0.168509873702482,0.0437497267709847,0.0517226132924216,0.171797587139246,0.0992449778052811,0.0688280218131855
