,y_dates,y_pred,
175,30/6/2006,0.059700828,
176,7/7/2006,0.059695531,
177,14/7/2006,0.059690222,
178,21/7/2006,0.059684921,
179,28/7/2006,0.059679665,
180,4/8/2006,0.059674393,
181,11/8/2006,0.059669137,
182,18/8/2006,0.059663888,
183,25/8/2006,0.059658661,
184,1/9/2006,0.059653454,
185,8/9/2006,0.059648257,
186,15/9/2006,0.058369067,
187,22/9/2006,0.058364913,
188,29/9/2006,0.058360763,
189,6/10/2006,0.058356624,
190,13/10/2006,0.058352482,
191,20/10/2006,0.058348358,
192,27/10/2006,0.058344252,
193,3/11/2006,0.058340158,
194,10/11/2006,0.058336068,
195,17/11/2006,0.058332,
196,24/11/2006,0.058327924,
197,1/12/2006,0.058323868,
198,8/12/2006,0.058319818,
199,15/12/2006,0.058315799,
200,22/12/2006,0.058311764,
201,29/12/2006,0.058307763,
202,5/1/2007,0.09558244,
203,12/1/2007,0.095474228,
204,19/1/2007,0.07975737,
205,26/1/2007,0.087412216,
206,2/2/2007,0.060962602,
207,9/2/2007,0.060959112,
208,16/2/2007,0.060955662,
209,23/2/2007,0.060952183,
210,2/3/2007,0.060945947,
211,9/3/2007,0.060939729,
212,16/3/2007,0.060933515,
213,23/3/2007,0.060927305,
214,30/3/2007,0.117241673,
215,6/4/2007,0.117237717,
216,13/4/2007,0.117233783,
217,20/4/2007,0.117229849,
218,27/4/2007,0.094580799,
219,4/5/2007,0.12213695,
220,11/5/2007,0.08892478,
221,18/5/2007,0.240334764,
222,25/5/2007,0.088639088,
223,1/6/2007,0.095363289,
224,8/6/2007,0.095229529,
225,15/6/2007,0.194207683,
226,22/6/2007,0.194210917,
227,29/6/2007,0.240634859,
228,6/7/2007,0.222772524,
229,13/7/2007,0.182746649,
230,20/7/2007,0.291461319,
231,27/7/2007,0.189753115,
232,3/8/2007,0.256492764,
233,10/8/2007,0.254724234,
234,17/8/2007,0.20140034,
235,24/8/2007,0.274859756,
236,31/8/2007,0.196930885,
237,7/9/2007,0.205441207,
238,14/9/2007,0.18543452,
239,21/9/2007,0.200767547,
240,28/9/2007,0.182448328,
241,5/10/2007,0.181104571,
242,12/10/2007,0.179365098,
243,19/10/2007,0.168811947,
244,26/10/2007,0.153613657,
245,2/11/2007,0.22939986,
246,9/11/2007,0.165079236,
247,16/11/2007,0.185795069,
248,23/11/2007,0.127836704,
249,30/11/2007,0.149198785,
250,7/12/2007,0.148521006,
251,14/12/2007,0.136331663,
252,21/12/2007,0.165070504,
253,28/12/2007,0.149117857,
254,4/1/2008,0.175703272,
255,11/1/2008,0.174751997,
256,18/1/2008,0.173773006,
257,25/1/2008,0.17285727,
258,1/2/2008,0.188654542,
259,8/2/2008,0.119985528,
260,15/2/2008,0.079661913,
261,22/2/2008,0.110199489,
262,29/2/2008,0.181025788,
263,7/3/2008,0.108226798,
264,14/3/2008,0.084095761,
265,21/3/2008,0.082949542,
266,28/3/2008,0.077063486,
267,4/4/2008,0.107789643,
268,11/4/2008,0.111833051,
269,18/4/2008,0.156926543,
270,25/4/2008,0.172866389,
271,2/5/2008,0.206721425,
272,9/5/2008,0.153426215,
273,16/5/2008,0.147600055,
274,23/5/2008,0.472412169,
275,30/5/2008,0.172386214,
276,6/6/2008,0.232286632,
277,13/6/2008,0.184240445,
278,20/6/2008,0.143827617,
279,27/6/2008,0.143295303,
280,4/7/2008,0.134823933,
281,11/7/2008,0.143906862,
282,18/7/2008,0.448152125,
283,25/7/2008,0.177338764,
284,1/8/2008,0.204117596,
285,8/8/2008,0.236044109,
286,15/8/2008,0.251371086,
287,22/8/2008,0.28544876,
288,29/8/2008,0.265012801,
289,5/9/2008,0.215632185,
290,12/9/2008,0.133840531,
291,19/9/2008,0.129427984,
292,26/9/2008,0.133051872,
293,3/10/2008,0.117179543,
294,10/10/2008,0.101817243,
295,17/10/2008,0.123392001,
296,24/10/2008,0.123366907,
297,31/10/2008,0.126460597,
298,7/11/2008,0.169466972,
299,14/11/2008,0.191358641,
300,21/11/2008,0.286273301,
301,28/11/2008,0.285789341,
302,5/12/2008,0.229722366,
303,12/12/2008,0.22221379,
304,19/12/2008,0.203078389,
305,26/12/2008,0.141433746,
306,2/1/2009,0.140567601,
307,9/1/2009,0.188085333,
308,16/1/2009,0.185667157,
309,23/1/2009,0.147810519,
310,30/1/2009,0.147566736,
311,6/2/2009,0.166581869,
312,13/2/2009,0.212314606,
313,20/2/2009,0.165602967,
314,27/2/2009,0.15568842,
315,6/3/2009,0.152749598,
316,13/3/2009,0.159877226,
317,20/3/2009,0.200968996,
318,27/3/2009,0.106574148,
319,3/4/2009,0.117794417,
320,10/4/2009,0.111050203,
321,17/4/2009,0.179783866,
322,24/4/2009,0.133994505,
323,1/5/2009,0.133745208,
324,8/5/2009,0.133506611,
325,15/5/2009,0.103248008,
326,22/5/2009,0.103028618,
327,29/5/2009,0.102812648,
328,5/6/2009,0.102599956,
329,12/6/2009,0.14105235,
330,19/6/2009,0.220511943,
331,26/6/2009,0.102007918,
332,3/7/2009,0.101814464,
333,10/7/2009,0.101581044,
334,17/7/2009,0.115938671,
335,24/7/2009,0.15298757,
336,31/7/2009,0.152773187,
337,7/8/2009,0.097211644,
338,14/8/2009,0.152351335,
339,21/8/2009,0.113381267,
340,28/8/2009,0.150820911,
341,4/9/2009,0.096501321,
342,11/9/2009,0.14987883,
343,18/9/2009,0.149682432,
344,25/9/2009,0.104979284,
345,2/10/2009,0.061750103,
346,9/10/2009,0.061746422,
347,16/10/2009,0.175600886,
348,23/10/2009,0.087779559,
349,30/10/2009,0.087203763,
350,6/11/2009,0.103761196,
351,13/11/2009,0.085106298,
352,20/11/2009,0.120275751,
353,27/11/2009,0.091882296,
354,4/12/2009,0.103604086,
355,11/12/2009,0.088459067,
356,18/12/2009,0.08597289,
357,25/12/2009,0.112170808,
358,1/1/2010,0.095751166,
359,8/1/2010,0.111913644,
360,15/1/2010,0.14819558,
361,22/1/2010,0.097016163,
362,29/1/2010,0.097011581,
363,5/2/2010,0.097006954,
364,12/2/2010,0.096955605,
365,19/2/2010,0.074558772,
366,26/2/2010,0.096655048,
367,5/3/2010,0.096506685,
368,12/3/2010,0.116568878,
369,19/3/2010,0.097483218,
370,26/3/2010,0.085065044,
371,2/4/2010,0.081230246,
372,9/4/2010,0.09726949,
373,16/4/2010,0.097153388,
374,23/4/2010,0.093009405,
375,30/4/2010,0.092950009,
376,7/5/2010,0.096953399,
377,14/5/2010,0.096839204,
378,21/5/2010,0.092745438,
379,28/5/2010,0.092712462,
380,4/6/2010,0.092577599,
381,11/6/2010,0.065118186,
382,18/6/2010,0.065112203,
383,25/6/2010,0.065106228,
384,2/7/2010,0.065100275,
385,9/7/2010,0.065090716,
386,16/7/2010,0.065081187,
387,23/7/2010,0.065071665,
388,30/7/2010,0.065062165,
389,6/8/2010,0.06505271,
390,13/8/2010,0.065043256,
391,20/8/2010,0.065033823,
392,27/8/2010,0.065024413,
393,3/9/2010,0.065015033,
394,10/9/2010,0.06500566,
395,17/9/2010,0.06499628,
396,24/9/2010,0.064986952,
397,1/10/2010,0.064977638,
398,8/10/2010,0.064968355,
399,15/10/2010,0.064959072,
400,22/10/2010,0.064949803,
401,29/10/2010,0.064940579,
402,5/11/2010,0.064931363,
403,12/11/2010,0.064922154,
404,19/11/2010,0.06491296,
405,26/11/2010,0.064903803,
406,3/12/2010,0.064894661,
407,10/12/2010,0.064885512,
408,17/12/2010,0.064876415,
409,24/12/2010,0.130579695,
410,31/12/2010,0.108216859,
411,7/1/2011,0.108209886,
412,14/1/2011,0.115008451,
413,21/1/2011,0.151491359,
414,28/1/2011,0.191238329,
415,4/2/2011,0.077826262,
416,11/2/2011,0.103012286,
417,18/2/2011,0.078130163,
418,25/2/2011,0.076543286,
419,4/3/2011,0.097762562,
420,11/3/2011,0.09818726,
421,18/3/2011,0.088786587,
