,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
JKK,-0.038860829,0.020059684,-0.019752428,-0.000605281,0.034872378,0.025290067,-0.010634457,0.001850788,0.00149427,-0.008988676,-0.004813828,0.013347143,0.008703831,0.018004781,0.00809686,-0.028230328,-0.01788724,-0.025797891,-0.00355335,0.00961933
JKL,-0.034937404,0.019172664,-0.014922396,-0.013037618,0.012748322,0.001344577,-0.00010316,-0.022431753,0.027799403,-0.009654714,-0.002388806,-0.004191068,0.014293257,0.019030661,0.007790252,0.00362319,0.001680421,-0.010515667,-0.001228856,-0.002709835
JNK,-0.011818585,0.000147718,0.008751833,-0.019713495,-0.002987589,0.000346408,0.002327942,0.009763535,0.000159925,-0.002222452,-0.011563752,-0.015182518,-0.004903134,0.005246044,0.002155058,0.01035874,0.00398025,0.00215094,0.004565542,-0.008758127
JO,-0.007111767,-0.032852945,0.013846846,-0.034898708,-0.056784612,-0.044493128,-0.027821711,0.053585107,0.048494391,-0.073015854,0.047369809,0.01495319,-0.016956411,-0.021088568,-0.063962903,-0.053340182,-0.009871643,0.000384719,0.069380849,0.022734734
JXI,-0.021035582,0.008873103,0.013740108,-0.031875465,-0.012143031,-0.036784603,0.022667251,-0.011011832,-0.050346866,0.020803282,0.02294705,0.017046622,-0.017220035,-0.000833971,-0.020613771,0.028933129,-0.008491864,-0.001735627,0.022142101,-0.012705129
KBE,-0.038133169,0.037277557,-0.022976949,0.008447597,-0.019233086,-0.05154917,0.010192685,-0.043933653,0.05408584,-0.036765184,-0.001593837,-0.003583746,0.022874513,0.061262363,0.04565377,0.069201779,0.036276008,0.096479621,-0.041947199,0.041934687
KCE,-0.043011223,0.026998741,-0.006687315,0.00865942,0.007273044,-0.032819341,-0.005130891,-0.022754272,0.017287818,-0.013610511,0.000554769,0.005276442,0.026416557,0.021809736,0.020216515,0.036121535,0.015451795,0.073614176,-0.033312629,-0.003624257
KIE,-0.033009879,0.022496065,-0.005395836,-0.016851992,-0.004158782,-0.037255189,-0.004820364,-0.036057078,0.024855336,-0.011296741,0.01174363,-0.011710847,-0.000901797,0.011292789,0.009261559,0.04545472,-0.008038988,0.0109698,-0.00794354,-0.007211337
KOL,-0.051989547,-0.036873356,0.021019034,0.043254295,-0.01204077,0.033001059,0.038842086,0.01326106,0.075047474,-0.015331919,-0.03287871,-0.073505454,0.027146379,-0.00991927,0.000589746,-0.058067346,-0.001618244,-0.063605136,0.054800495,0.004408526
KRE,-0.036784201,0.034918693,-0.035548467,-0.002029779,-0.020721927,-0.045063055,-0.001642986,-0.062246135,0.057432552,-0.038595327,0.003744225,0.002146904,0.045313618,0.081458742,0.051999312,0.06385678,-0.010253036,0.03410038,-0.02573987,0.031739622
KROO,-0.04599206,-0.036506612,0.015030034,0.020438309,0.019207729,-0.025313818,0.01651745,0.007303829,-0.015175786,-0.031854148,-0.005803436,-0.01266827,-0.009331983,-0.016073838,-0.023464306,-0.031170813,0.016303975,0.028938115,-0.028247811,0.001914777
KRU,-0.070408723,0.069970588,-0.070082198,-0.012566544,-0.039943027,-0.082065821,-0.0064346,-0.139946665,0.109222692,-0.082484672,0.02008961,0.014086707,0.097562505,0.200269863,0.101248755,0.123381459,-0.048225266,0.041001287,-0.025815233,0.059751234
KWT,-0.059279404,0.009430438,0.047243472,0.118814114,0.080086032,0.036160289,0.14112507,0.005143577,0.031283078,-0.100147022,-0.299130982,0.182392167,0.074902599,-0.231512243,-0.091477825,0.100148204,-0.145829797,0.073638062,-0.055099938,-0.014151163
KXI,-0.017611276,0.004444201,0.008779741,-0.032160694,-0.006152231,-0.027687601,-0.007167272,-0.004341935,-0.030694094,0.033590323,0.024354993,0.015361549,-0.013401401,0.004262062,-0.013609811,0.029821703,-0.027591196,-0.017748788,0.008483961,-0.020829476
LBJ,-0.117171128,-0.067631359,0.174442013,0.005278911,-0.051717379,0.03994369,0.042388155,-0.028305908,0.016173372,0.040403705,0.032473536,-0.135758229,-0.002929272,0.043071046,-0.038779902,-0.098737465,-0.101274896,0.07323919,-0.149091774,0.00488941
LIT,-0.045514699,-0.010436944,0.011529358,0.015879835,0.026910736,0.018120868,-0.012876152,0.041700547,0.033582988,-0.015517171,-0.024571654,0.019890831,-0.007287757,-0.018865389,-0.009884373,-0.072179272,0.031056237,-0.027195164,-0.027090203,-0.022022422
LQD,0.000863272,-0.00664826,0.015890638,-0.037533548,0.005407292,0.020647175,0.002202384,0.00971493,-0.000924463,-0.004982837,-0.01263685,-0.008902102,0.010821423,0.015312005,0.007339587,0.010688081,0.001010591,0.010916775,0.007174183,-0.015964833
LTPZ,0.007138433,-0.021402685,0.028537878,-0.068691911,0.009868059,0.044566706,0.005458582,0.014512945,-0.011637804,-0.005122541,-0.031302508,-0.015358483,0.021082154,-0.003780635,-0.012618506,0.001411436,0.00458917,0.008703702,0.029734144,0.012649556
LVL,-0.030303668,-0.000418098,0.018516997,-0.011590152,-0.001393907,-0.040111774,0.029204392,0.001566391,-0.02739226,0.00129762,-0.023644718,0.011032002,-0.008623148,-0.000562836,0.008868213,-0.002295272,0.009602544,0.008525446,-0.024502052,-0.007105631
LWC,0.006346755,-0.009455838,0.023341574,-0.056065814,0.003954074,0.032009713,0.007120837,0.015370316,-0.011264991,-0.005811757,-0.029718884,-0.021060429,0.016849907,0.030084616,0.011571149,0.023243787,-0.010440935,0.019567791,0.006359726,-0.018424328
MBB,0.000781289,-0.001242255,0.006842918,-0.017734778,0.004083997,0.010597668,0.007615652,0.004221749,-0.002248024,0.002986193,-0.00665061,-0.000802411,-0.000135303,-0.004992114,0.001116597,0.00362091,-0.000421026,-0.009445575,0.001898562,-0.003495504
MBG,0.000925478,-0.001520394,0.00515972,-0.011397037,0.003834679,0.007965575,0.004387732,0.001548222,-0.001763053,0.002018042,-0.005600327,-0.002579771,-0.001383505,0.001017036,-0.006390436,0.008147831,-0.001677056,-0.001746061,-0.002369869,-0.010926901
MCRO,-0.008783735,-0.016993196,0.015253532,-0.010458613,-0.004740065,0.007471606,0.001512811,0.001020937,0.002012779,0.006202375,0.000917559,-0.003368002,4.77069E-05,0.005049831,0.004579416,-0.003416062,-0.001009681,0.006195709,0.00294244,0.003834589
MDY,-0.035039311,0.019175143,-0.01355928,-0.010494434,0.012936896,0.019413467,-0.006823052,-0.006677412,0.017105282,-0.002345261,-0.001847387,0.00173291,-0.001138811,-0.00535623,-0.002941714,-0.012135865,-0.000557554,-0.008790892,-0.00460673,-0.003674591
MDYG,-0.034763344,0.017922098,-0.010673664,-0.009987523,0.020285578,0.027667835,-0.015036573,-0.000337828,0.008289247,-0.00093899,0.002322793,0.00566197,-0.006767988,-0.011972419,-0.00937569,-0.024949069,-0.01416461,-0.00774142,0.001086837,0.015221479
MDYV,-0.032724448,0.015923829,-0.008711355,-0.017686953,3.06738E-05,0.00238617,0.009350573,-0.015406372,0.016377457,-0.020575675,0.007037547,0.001444878,-0.00834888,0.001128077,-0.015272513,-0.011586155,-0.011449013,-0.011541201,-0.015709729,0.019214225
MGC,-0.028476571,0.016780847,-0.007600313,-0.007748968,0.004658793,-0.015862105,-0.006887555,0.002035737,-0.009564732,0.0133082,0.011071776,-0.005838879,-0.003270021,0.000765287,-0.007259534,0.026921056,0.000460047,0.029010391,0.008647773,0.010840534
MGK,-0.029468624,0.016124502,-0.009064831,-0.001933783,0.016650139,0.001567587,-0.017428213,0.018796322,-0.018418988,0.018409734,0.013482129,-0.005473004,-0.007138788,-0.000693776,-0.001921767,0.018450411,0.004191629,0.021977485,0.010313991,0.002247862
MGV,-0.027833618,0.017266721,-0.005384936,-0.013898981,-0.007425213,-0.033284793,0.003023561,-0.012061739,0.001789757,0.008212003,0.007990493,-0.00692843,-0.001384763,0.004038849,-0.011823049,0.033857026,-0.006782775,0.037125351,0.005046655,0.017632946
MIDU,-0.102350827,0.056854892,-0.032847084,-0.019930875,0.015903386,0.032838723,-0.006051443,-0.026437667,0.03954405,0.005388687,0.010802646,-0.011274024,0.007911052,-0.027558804,-0.024527448,0.048183324,0.007620083,0.024805999,-0.000417066,-0.007051662
MIDZ,0.100778975,-0.055045148,0.032990796,0.04057924,-0.034826745,-0.049743439,0.006987457,0.012078574,-0.038152228,-0.001014101,-0.006890385,0.011014828,0.037525912,0.061686447,0.051168149,0.040982492,-0.023938079,0.008990695,0.024198411,-0.013670425
MLN,0.003126025,-0.003830124,0.016744877,-0.035418189,0.008485034,0.017780945,-0.013229017,0.005613443,-0.006117951,0.002907852,-0.00942885,0.001656606,0.006978996,0.006748556,-0.014509969,0.020012172,0.005577187,-0.000885331,-0.00804727,-0.006118731
