,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
PHO,-0.037849242,0.018852407,-0.010076751,-0.011650361,0.022991233,0.009837495,-0.00625158,-0.002425391,0.010282878,-0.018254214,0.002424817,0.006395325,0.015083432,0.024650959,0.003872806,-0.031026299,-0.019545576,-0.031347429,-0.005770457,0.02509689
PICB,-0.008281722,-0.023129972,0.016072873,-0.021517136,-0.004786017,-0.016973809,0.026588871,0.011293446,-0.033515858,-0.015094518,-0.012030543,0.001048356,0.011469018,0.020379261,0.025876409,0.01930175,0.015968926,-0.008632467,0.006350711,-0.00506123
PID,-0.027352639,-0.001556015,0.006752723,-0.012791469,-0.011662968,-0.019335133,0.010270948,0.002394098,-0.025166362,0.003591463,-0.001172555,-0.008071483,-0.000494827,0.009584344,-0.014361617,-0.001474683,-0.017565279,-0.020903427,-0.01703066,-0.009548106
PIE,-0.034123483,-0.021934875,0.060488076,0.000135361,-0.016940563,0.012476188,-0.023116358,0.007298459,0.013766351,0.016894035,0.019374863,-0.023448136,-0.012590713,0.007965405,0.017656374,-0.028255532,-0.014598967,-0.020885269,-0.017937297,0.024511449
PIN,-0.033353307,-0.022172046,0.072118823,-3.35639E-05,-0.054810518,0.009790374,-0.105278935,-0.01467697,0.005314168,0.011874318,0.054179418,0.127244724,0.126853464,-0.038094715,-0.038742724,-0.005122711,0.044429208,-0.008828109,0.015586072,-0.010033584
PIO,-0.035170071,0.008101923,0.008503075,-0.010241158,0.007839624,-0.017322586,0.015795359,0.00824059,-0.026226834,0.016799463,-0.012363621,0.020677058,0.001713914,0.006361127,0.003059813,-0.025453121,0.000756375,-0.010243051,-0.025599745,0.011988519
PIZ,-0.039253047,-0.00841627,0.008594429,-0.009346251,0.000902785,-0.011671327,0.012197909,0.016029916,-0.033939537,-0.000944683,-0.003905206,0.002393662,-0.024022601,-0.007433363,0.003771163,-0.023557058,0.010518754,-0.028403983,-0.007478025,1.81482E-05
PJP,-0.023473163,0.017159733,-0.000273325,-0.02069789,0.012421135,-0.00333488,-0.020019376,0.007197481,-0.008263168,0.030210805,-0.015731777,0.02896071,-0.054472033,0.051228039,-0.064714146,0.001299822,-0.013288007,0.003828323,0.017347462,0.030625577
PKB,-0.041456493,0.023702265,-0.01703924,-0.011473949,0.016955749,0.007273242,0.003989511,-0.029078961,0.025729859,-0.023729121,-0.005202535,-0.000482591,0.033577111,0.035139447,0.017883846,-0.00929784,0.01205245,-0.024576006,-0.047129263,0.029254634
PKW,-0.025599186,0.02231768,-0.005792216,-0.008214195,0.008800923,-0.004427774,-0.010569032,-0.005115047,-0.0145685,0.021622441,0.009885583,0.002814938,-0.015558508,0.00241595,-0.016554427,0.01437167,0.003096685,0.010252347,0.004809851,-0.010475465
PLND,-0.044261764,-0.018692228,0.037676408,-0.00250886,-0.025155469,-0.069315877,0.057405579,0.013954074,-0.06559181,-0.014384472,-0.013813906,0.040419598,0.012443037,0.06207794,0.076497224,-0.007880473,0.022425644,-0.022345778,0.035895444,0.007932491
PLW,0.010634656,-0.011653694,0.018988478,-0.048563915,0.013089611,0.038128374,0.000318912,0.008186172,-0.020743117,-0.008458309,-0.01608547,-0.00837869,0.017083298,0.014971045,0.002554268,0.005972806,-0.004522681,0.009797156,0.009428552,0.001677329
PMR,-0.028178608,0.02280613,-0.013166641,-0.01517812,0.03498655,0.005498165,-0.029991257,-0.010051511,0.009074428,0.024310032,0.005102332,-0.000296368,-0.007051041,-0.003720107,0.012613789,0.03412619,-0.003457472,-0.006624973,-0.025209092,-0.002689679
PNQI,-0.036583708,0.019171785,0.000855362,0.024135688,0.048642371,0.048487509,-0.01418223,0.038600388,-0.019052527,0.021291109,0.001426452,0.005749942,-0.027976529,-0.008599345,-0.011396921,0.004313004,0.003621039,-0.016375195,0.012695365,-0.024689587
PPA,-0.030448444,0.028340433,-0.010871339,-0.004348648,0.009590772,-0.003792282,0.0022613,-0.009299502,-0.006955481,-0.006464824,0.007538408,-0.007517343,0.008081411,0.015905693,-0.001531138,0.015359471,-0.010981098,0.018132122,-0.003155304,0.022784948
PPLT,-0.021402346,-0.069195423,-0.004053906,-0.001916624,0.029850285,-0.020485685,0.008741643,0.019664269,-0.007901465,-0.023730097,-0.039486551,0.025474445,-0.003124657,-0.037330869,-0.011403537,0.054635241,0.082168421,0.048115157,0.030902837,0.006584142
PRF,-0.029808657,0.017564117,-0.006393593,-0.008819662,1.25581E-05,-0.015377328,-0.001727739,-0.008128919,0.000586405,0.00857018,0.007331233,-0.007493792,-0.001578683,0.00174926,-0.013139257,0.026152484,0.000185109,0.022708126,-0.002572461,0.005253696
PRFZ,-0.03889848,0.018714365,-0.01916192,-0.006259332,0.020151051,0.011265068,-0.00832558,-0.012833713,0.022389907,-0.01927326,-0.008087023,0.005737293,0.024671099,0.029601058,0.020495233,-0.007470046,-0.018370763,-0.038819326,-0.001985319,0.004940794
PRN,-0.037378108,0.023620799,-0.012162253,-0.001913499,0.023683853,0.007522237,-0.005341923,-0.018137793,0.019780132,-0.021860254,-0.001355853,0.00762655,0.00634402,0.006701053,-0.00036926,-0.011836155,-0.02351383,-0.02067346,-0.010738538,0.039108359
PSAU,-0.03335203,-0.119360535,-0.015774913,0.012374911,0.115762051,-0.003407652,0.026573184,9.88626E-05,0.00882126,0.033486958,-0.00159726,-0.046345461,0.066188735,0.066547027,-0.065841728,0.014370773,0.138223426,-0.078986082,-0.083903928,0.012142588
PSCC,-0.02542258,0.016863098,-0.017698266,-0.033893091,0.02709995,-0.00719213,-0.013405696,-0.018316182,0.016393517,0.001009749,0.013972922,0.042157785,0.017453325,0.043514624,0.008751217,-0.001459071,-0.02971975,-0.037709149,0.011730488,0.005661928
PSCD,-0.037414138,0.027968841,-0.018961492,-0.005681361,0.039176068,0.024954171,-0.018379589,-0.016634562,0.021049431,0.002605166,0.002371227,0.009378519,0.0080694,0.029990841,0.032687208,-0.003534851,-0.011865318,-0.025011403,-0.002681664,0.015504888
PSCE,-0.055836874,-0.007817457,-0.068295761,0.004627001,-0.025472144,0.046501568,0.037080992,0.000559459,0.035305935,0.013093363,0.007551159,-0.043758155,0.057184746,-0.011826234,-0.020268811,-0.064801001,-0.052571184,-0.049556722,0.068705611,-0.057374133
PSCF,-0.032178607,0.016918694,-0.010899206,-0.040590522,-0.005704263,-0.014628394,-0.006246418,-0.025814079,0.034849823,-0.027879776,0.002022245,0.009096212,0.011530139,0.016412527,0.025859681,0.029822647,0.004001935,-0.022730437,-0.00188033,0.006552232
PSCH,-0.029305744,0.023025399,-0.019396785,-0.019165642,0.021822882,0.007724461,-0.019370795,-0.000738005,0.02262842,0.007570046,-0.015809083,0.038631194,-0.021894431,0.050415995,-0.021769837,-0.026678823,-0.034229721,-0.055221557,-0.00647997,0.016478094
PSCI,-0.039428474,0.021437896,-0.018292575,0.000399948,0.019736308,-0.002697401,-0.012753546,-0.020066697,0.02295622,-0.040293788,0.00238044,0.017315465,0.031176706,0.046328366,0.018385394,-0.009993038,-0.019179622,-0.045816259,-0.007908563,0.042565611
PSCM,-0.038552895,0.008255952,-0.007179919,0.001755119,0.010423219,-0.004397823,-0.004860224,-0.030626874,0.045363945,-0.064168484,-0.020879039,0.017908104,0.051936698,0.028526782,-0.019921665,-0.032098236,-0.034214756,-0.112807215,-0.021688043,0.054781426
PSCT,-0.040343944,0.021222347,-0.02376986,0.021005674,0.039532353,0.020958071,-0.01454913,-0.005299149,-0.008195707,-0.036755851,0.00322026,0.00065144,0.041564619,0.020513016,0.049716859,-0.039013591,-0.032332015,-0.055740382,-0.0005326,0.024015014
PSCU,-0.018499843,0.012823136,0.000454159,-0.050780965,0.007936067,-0.002195373,-0.002260597,-0.012655352,0.00150767,-0.000116613,-0.005268355,0.012425729,0.020635138,0.030214564,-0.021581849,0.003380986,-0.031992008,-0.056896822,0.009274736,-0.002420151
PSI,-0.044191604,0.025919184,-0.017741812,0.045451589,0.048049568,0.04261444,-0.023379665,0.019831044,-0.052325378,-0.03294377,0.022484636,-0.027593626,0.030621889,-0.050139152,0.043190902,-0.034704657,-0.019374139,-0.002772274,-0.022282642,0.005492818
PSJ,-0.034451385,0.028404788,-0.020142161,0.010642693,0.034967268,0.018818924,-0.021991656,-0.001203882,-0.023207807,0.004984269,0.020922583,0.013565119,0.011319681,0.015633345,0.023488997,-0.009159969,-0.022341027,-0.036266421,0.008463467,0.034593365
PSK,-0.006863283,-0.003866916,0.008277858,-0.016790621,0.002138757,0.012460538,0.003864375,0.005731925,0.014134677,0.008006951,-0.01047617,-0.00904278,-0.021665788,-0.015146004,-0.01375467,0.000467244,0.01457477,0.000681845,-0.036522104,-0.016295644
PSL,-0.019028327,0.012371406,9.91537E-05,-0.027068636,0.004545775,-0.006428798,-0.012331329,-0.013211765,-0.001987732,0.022293926,0.02982802,0.023283094,-0.01515956,0.011499924,-0.013080679,0.010705228,-0.027667799,-0.015770412,0.006672853,0.00878751
PSP,-0.041161379,-0.00229754,0.014011396,-0.004671943,-0.004347643,-0.02452633,0.02360628,0.010243126,-0.014984504,-0.010118739,-0.013019477,0.002714517,-0.013262667,0.001784261,0.030333048,0.002398018,0.003657504,-0.013041858,-0.01892034,-0.007612855
PSQ,0.030566882,-0.021274757,0.009964926,-0.011978354,-0.033343721,-0.021533607,0.031638864,-0.043097753,0.032497307,-0.019344725,-0.011989215,0.004619743,0.013300129,0.003201171,-0.001636268,-0.012218805,-0.011313345,-0.019948764,-0.007713998,-0.001121668
PSR,-0.027845166,0.009550951,0.021332481,-0.091388792,-0.006812967,0.012608943,0.01088096,0.005914768,0.040636965,-0.029856464,-0.004960877,-0.017049579,-0.045281108,-0.078101116,0.017656223,0.012074805,0.038727057,-0.026123451,-0.005212036,-0.027257732
PST,-0.01255027,0.020613575,-0.029580856,0.078267346,-0.018289008,-0.057371018,-0.006484178,-0.016913431,0.019937065,0.018011074,0.020781007,0.008143175,-0.022847043,-0.008537249,0.009508223,-0.020129712,-0.003774837,-0.005093489,-0.016478119,0.007787333
QABA,-0.031198391,0.031243691,-0.030163886,-0.001349013,-0.012370647,-0.033545375,-0.012014858,-0.055593777,0.050629131,-0.03261549,0.002467139,0.007150371,0.041103316,0.069050092,0.059923789,0.052226177,-0.012195726,0.011843901,-0.02156342,0.047679087
QAI,-0.00625164,-0.004734555,0.007003503,-0.009722624,0.003775071,0.007528496,-0.002405487,0.000161947,-0.00546852,0.00114627,0.00018681,0.002965305,0.005280541,0.012407999,0.001705684,-0.002372384,-0.00937616,0.011878474,-0.003984712,-0.00101496
QCLN,-0.050036646,0.032400627,-0.013087118,0.050590888,0.051231273,0.04957165,0.047113592,0.011382905,0.006090045,-0.051543541,-0.071974583,0.048225155,0.052818815,-0.109543957,0.00220881,-0.011809773,-0.038695192,0.005818307,-0.051704808,-0.026530619
QID,0.06082829,-0.04065841,0.020283307,-0.023018584,-0.065638452,-0.042427178,0.062404747,-0.08514389,0.066201981,-0.039237733,-0.024637154,0.009423888,0.027286528,0.010317037,-0.000608135,-0.02345051,-0.025211717,-0.039585759,-0.016016151,8.72812E-05
QLD,-0.061590209,0.043109022,-0.018850617,0.026827458,0.065146515,0.035998424,-0.068546545,0.084343236,-0.06753085,0.042273078,0.021927128,-0.010104434,-0.019173232,0.009435201,0.011477449,0.03623257,0.01584155,0.047122447,0.022386003,-0.004613648
QQEW,-0.032536371,0.021279112,-0.000383462,0.010945477,0.026827048,0.018234952,-0.024163238,0.022051774,-0.020625003,0.017716559,0.002492475,0.00308831,-0.010209176,-0.012415719,-0.008636181,-0.003061812,-0.001139014,0.026775989,-0.001622709,0.00122645
QQQ,-0.030760164,0.020862867,-0.009280402,0.013317278,0.032797337,0.019649531,-0.034356293,0.042773633,-0.033223043,0.021261904,0.011273378,-0.005576163,-0.012634958,0.00179112,0.003762224,0.017802634,0.009331587,0.021009726,0.009125807,-0.003596142
QQQC,-0.033083094,-0.004701593,0.041056287,0.060151149,0.029243002,0.053649522,0.009239249,0.008419947,0.005250845,-0.006112963,-0.044463605,0.020229224,-0.045470531,-0.031080675,0.017298764,0.024155784,0.026566405,-0.051112027,-0.025497182,-0.003020059
QQXT,-0.029933941,0.021084241,0.002726333,-0.006612585,0.020023786,0.008845719,-0.025771984,0.017805974,-0.00845892,0.023463867,-0.01061753,0.017891801,-0.022840856,-0.006611197,-0.027610225,0.004232133,0.004857748,0.02557156,-0.003288927,-0.001026354
QTEC,-0.036202096,0.021738891,-0.007664581,0.034460571,0.034418217,0.031154728,-0.02365656,0.025417607,-0.041464726,0.008942299,0.017710798,-0.016690329,0.007055621,-0.028593346,0.01996083,-0.010901353,-0.003534375,0.022641214,-0.003132352,0.000561232
RBL,-0.044814945,-0.038654511,0.014655962,0.00706103,-0.069542817,-0.003236606,0.002805234,-0.006453555,0.026090921,-0.003437811,-0.025970155,-0.016379252,0.026646994,0.049675271,0.027787012,-0.015817889,0.006586816,0.066074674,0.020271169,-0.035305081
RCD,-0.032409363,0.01850328,-0.00050969,-0.013919701,0.019261863,0.002119441,-0.016226302,-0.002313852,-0.006464979,0.024824707,-0.002381389,-0.006239297,-0.0099699,0.00018342,-0.01834814,0.006783964,0.000939471,0.014957499,-0.013658997,-0.018726856
REK,0.029628245,-0.013009894,-0.019952206,0.087577693,-0.001049419,-0.017470127,-0.012125439,-0.005837928,-0.041872199,0.031237822,-0.010739043,0.012109158,0.044817735,0.081210484,-0.016818007,-0.004904298,-0.046348929,0.020841385,-0.003919519,0.01666483
REM,-0.019059614,0.005514362,0.008259197,-0.054026587,0.025544039,0.0104792,-0.002050547,0.007875738,0.018395397,5.26581E-05,-0.003661236,-0.014561718,0.018869401,-0.00050176,0.016937782,0.007345587,0.034479598,0.046504547,-0.011185326,-0.035154534
RETL,-0.054189553,0.057469169,-0.010401478,-0.059040724,0.063797671,0.000500906,-0.091830984,0.001648033,-0.021321824,0.097904234,0.066441151,0.01935463,-0.022980072,0.013376182,-0.078728659,0.111777624,0.010957006,0.059362059,-0.082796576,-0.142978449
REW,0.064050555,-0.038135283,0.033992967,-0.054305696,-0.078756368,-0.045321941,0.04919609,-0.079773864,0.094463046,-0.017875151,-0.044634317,0.026537147,-0.016054857,0.02943628,-0.049867024,-0.008219821,-0.035557412,-0.017888749,-0.012592191,-0.018917696
REZ,-0.02549298,0.010200741,0.01718738,-0.098097744,-0.010206541,0.017338569,0.00936223,0.010962392,0.054408859,-0.038740438,0.009552685,-0.00654291,-0.044813538,-0.088849294,0.023462382,0.005821777,0.040722687,-0.010377484,0.017038737,-0.01728674
RFG,-0.036407665,0.020748297,-0.013807145,0.001529453,0.034609464,0.038879191,-0.021319747,0.007372608,0.011863795,0.006437121,-0.001234516,0.009718852,-0.004791055,-0.000570884,0.002808159,-0.022761228,-0.007195358,-0.012768719,0.00248429,-0.003228506
RFV,-0.034906761,0.019229402,-0.011020187,0.002353681,0.014188554,0.000104934,0.005318075,-0.024007909,0.020159969,-0.006160826,-0.002574113,-0.004998291,0.006788033,0.013189914,-0.013420585,-0.007329384,0.013344686,-0.00858403,-0.028148289,-0.007889705
RGI,-0.033947057,0.022091351,-0.003929458,-0.008947387,0.011325148,-0.000913101,0.000360901,-0.018995975,0.002101696,-0.003380556,0.004975208,-0.008736762,0.004153679,0.000668584,-0.022206832,-0.003936764,0.000174427,0.003661058,-0.009411206,0.036873641
RHS,-0.017760281,0.014302648,0.005180812,-0.034022449,-0.001153823,-0.008987859,-0.014745563,-0.013741254,-0.006090456,0.028384121,0.021187695,0.021038978,-0.021394298,-0.005623385,-0.015133272,0.023472794,-0.029807679,-0.007406306,0.013185327,-0.000342193
RJA,-0.013731546,-0.037215039,-0.030361567,-0.00863471,-0.039948241,-0.03760102,-0.031238416,0.14746336,0.016853959,-0.114390388,0.024983996,0.005518546,-0.003745457,0.024400973,-0.048053648,0.015588474,-0.04424266,-0.002807299,-0.026608203,-0.015823959
RJI,-0.02139503,-0.045873548,-0.050003498,-0.003404095,-0.053429087,0.007880454,-0.02607108,0.037419495,-0.011290666,-0.050181198,-0.013889694,0.011523965,-0.011510798,0.012571321,-0.003686845,0.006477958,0.003436001,0.014226161,-0.002444863,0.006737685
RJZ,-0.025424913,-0.068622301,-0.01140005,0.011083464,0.022533883,-0.023596303,-0.006475913,-0.003121804,0.016694639,-0.045351939,-0.034341362,0.009962433,-0.011581834,0.005913354,-0.015878288,-0.033325816,0.052671546,0.056937338,0.095635594,0.048620706
ROM,-0.064776457,0.04060555,-0.035495072,0.056420777,0.078321702,0.039107783,-0.055587377,0.078233652,-0.096204568,0.020873266,0.041423899,-0.025657321,0.023183925,-0.013232995,0.063719892,0.027107608,0.02558205,0.031400965,0.026414116,0.009928387
RPG,-0.033925257,0.019624989,-0.008875383,0.003164067,0.025378284,0.022463438,-0.02432132,0.023427825,-0.0087485,0.015634358,-0.003013362,-0.001400139,-0.012053049,-0.008986974,-0.009943468,0.002268277,-0.003244118,0.012062772,0.008979609,0.001271149
RPV,-0.034332788,0.020129674,-0.008557059,2.4025E-05,-0.003697458,-0.018575282,0.005229361,-0.023810139,0.015548953,0.013937002,0.002516388,-0.00072086,0.006722155,-0.000260737,-0.006126709,0.024311748,0.002066679,0.023951653,-0.018486011,-0.017305186
RSP,-0.032698503,0.018173319,-0.007848022,-0.006449473,0.005268833,-0.001338998,-0.005847953,-0.005817328,0.001626201,0.008224787,0.00618272,-0.006414115,-0.002592057,-0.00678824,-0.013395635,0.012346174,-0.000563451,0.017344669,0.001866363,0.001644431
RSX,-0.045521845,-0.034783657,0.013136848,0.014326815,-0.069956335,-0.002812177,0.002162775,-0.010069834,0.023168749,-0.004791973,-0.022121331,-0.013483868,0.034565603,0.055341637,0.023399134,-0.035834157,0.003584391,0.074915138,0.041414091,-0.04153635
RTM,-0.038253637,0.002617665,-0.010865081,0.005724954,0.011280885,0.006046483,-0.002885564,0.00143297,0.026656997,-0.010054047,-0.021342135,-0.024992544,0.00924324,-0.00642327,-0.033966649,-0.03995693,0.018735501,-0.005921227,-0.00824798,0.021902366
RWJ,-0.039225933,0.020351044,-0.021882128,-0.004858302,0.023225167,0.00987556,-0.009707284,-0.020067453,0.020840657,-0.024549753,-0.003752087,0.008551828,0.035958827,0.036950516,0.017901494,-0.013016998,-0.026016134,-0.041871968,0.006400897,0.012381351
RWK,-0.037468396,0.018408205,-0.012134933,0.001850011,0.021648501,0.017383483,0.001943946,-0.012954531,0.019472453,-0.002698277,0.003252151,-0.003561755,0.00750205,0.000969091,-0.009773114,-0.010042788,0.001783576,-0.008986191,-0.010545275,0.003127207
RWL,-0.029652261,0.017847978,-0.00602337,-0.007873917,0.002450364,-0.015430059,-0.004133005,-0.008314594,-0.002026204,0.011283017,0.013274716,-0.00554896,0.004195881,-0.004909293,-0.013908818,0.027504764,-0.004215683,0.022687853,0.007145856,0.013820801
RWM,0.03861428,-0.018877267,0.021218091,0.012414477,-0.022877078,-0.018663934,0.006875818,0.011269339,-0.022143489,0.017226739,0.004995299,-0.008843754,-0.018668184,-0.024361578,-0.013260062,0.022017672,0.018023344,0.041021896,-0.000311311,-0.014664817
RWO,-0.030769519,0.001865113,0.028175336,-0.064202309,-0.015776767,-0.000768702,0.01459533,0.010449848,0.008706453,-0.018285944,0.007166811,-0.012254402,-0.028416551,-0.050653271,0.031159072,0.00735847,0.029701442,-0.024548872,-0.000379331,-0.022204492
RWR,-0.030528102,0.01215869,0.019976288,-0.092338396,-0.008637642,0.01357993,0.008016998,0.006212117,0.045611445,-0.031910631,0.005128214,-0.011937059,-0.047071784,-0.081151093,0.028054107,0.009224245,0.04667077,-0.024312145,0.009175542,-0.032858169
RWW,-0.037424042,0.024020592,0.004402071,0.003464366,-0.013377427,-0.057553694,0.024327856,-0.043679254,0.038729896,-0.022342715,-0.017769687,-0.006616094,0.018384638,0.026935293,0.014723918,0.047507134,0.030782092,0.081901278,-0.041315072,0.018274518
RWX,-0.02982603,-0.012504492,0.037381428,-0.029880231,-0.021427644,-0.01388987,0.010771919,0.014248158,-0.034016126,-0.006126122,0.01173298,-0.009674502,-0.010283328,-0.019550128,0.031039301,0.004882086,0.01089673,-0.022760329,-0.016377035,-0.018908814
RXD,0.041278598,-0.035253513,-0.01329322,0.053593845,-0.006891841,0.038509227,0.021341711,-0.007114835,0.036667213,-0.057782098,0.003170184,-0.061830226,0.073957388,-0.018407945,0.113485755,-0.033833767,0.018990961,-0.023135826,0.002358332,-0.037287736
RXI,-0.033439314,0.020539522,-0.000367005,-0.008054257,0.011140659,-0.012025905,-0.008456996,0.005249004,-0.023862984,0.020528861,0.010705172,0.0060721,-0.007369808,0.004301031,0.006910765,0.008987305,0.003461752,-0.007270941,0.006675199,-0.009851346
RXL,-0.042527214,0.037022067,0.013745655,-0.049935367,0.000480993,-0.027461197,-0.022606249,0.00400775,-0.017829911,0.072670432,0.000828598,0.069477767,-0.079406135,0.042048231,-0.107099529,0.042945322,-0.013406308,0.032621424,0.015666092,0.032606172
RYE,-0.044664258,-0.014444745,-0.040269155,-0.000953061,-0.039777321,0.017507752,0.037776948,-0.002469658,0.025351748,0.028143219,-0.010577335,-0.055614074,0.029292327,-0.043087286,-0.041908505,-0.023721889,-0.016064159,0.000792752,0.057779417,0.000296028
RYF,-0.03630698,0.025326812,-0.001511278,-0.016549015,-0.006344753,-0.028433317,0.008714658,-0.023528349,0.038683335,-0.024673145,-0.002812766,-0.003896584,0.00667096,0.013763617,0.016790419,0.026776291,0.013086522,0.034008865,-0.022767693,0.012875998
RYH,-0.024995547,0.017827935,0.005069846,-0.013059777,0.007437994,-0.011445776,-0.01344737,-0.001298935,-0.004031965,0.02837784,0.000472956,0.031685567,-0.027228267,0.003867117,-0.045568372,0.011017357,-0.000588656,0.008586068,-0.004614441,0.004180144
RYJ,-0.037615871,0.018774089,-0.017700457,-0.005877925,0.009991865,0.013840807,-0.002867029,-0.012176396,0.013416192,0.001828222,0.002641223,-0.002632576,0.013315144,0.004187607,0.012969179,0.00325286,-0.00251063,-0.002846539,-0.008716366,0.00593202
RYT,-0.037169768,0.024523595,-0.011111624,0.033206445,0.034563432,0.024153226,-0.01555346,0.016312237,-0.038064313,0.000899843,0.01527056,-0.012052337,0.013440076,-0.029395661,0.019747538,-0.014587112,-0.007442132,0.031874205,-0.004708927,-0.001207176
RYU,-0.015120219,0.012967636,0.012256531,-0.056640554,-0.011557547,-0.002792778,-0.002782681,-0.01787741,-0.017732213,0.01651669,0.016591533,-0.012307586,-0.019302635,-0.001170098,-0.04893518,0.043751703,-0.004187451,-0.018030555,0.013099955,-0.012291923
RZG,-0.035461126,0.021382751,-0.021651076,0.002677676,0.033049592,0.02177706,-0.016600892,0.000727889,0.016625849,-0.011210949,-0.008530446,0.009792854,0.017892426,0.031445429,0.034368016,-0.02490406,-0.030383861,-0.063994003,0.005131116,0.013942334
RZV,-0.041354503,0.021472135,-0.021771952,-0.007174405,0.021806352,0.000380989,-0.008893225,-0.02202981,0.028224834,-0.04040448,-0.00916958,0.017617878,0.056835324,0.060284073,0.016188708,0.004763047,-0.025086787,-0.04277676,0.011471774,0.019234727
SAA,-0.073274395,0.042567332,-0.044051164,-0.016325769,0.040122962,0.019209399,-0.024639812,-0.025193117,0.041212086,-0.038768789,-0.007187567,0.022670578,0.047920207,0.07216405,0.036085761,-0.010181346,-0.04936495,-0.08244533,0.007375244,0.016834525
SBB,0.036595342,-0.020269006,0.021296349,0.01194163,-0.018467348,-0.010758056,0.010503718,0.015410644,-0.01811183,0.02010301,-0.00556306,-0.007862404,-0.01547273,-0.017044909,-0.010271867,0.020642567,0.019414134,0.04781662,-0.003888061,-0.021087036
SCHA,-0.038175495,0.019850007,-0.019736507,-0.009224489,0.019916298,0.015500498,-0.006071444,-0.008905298,0.025330883,-0.011975685,-0.004754794,0.005467667,0.015279798,0.019203136,0.010439067,-0.015630139,-0.012389475,-0.022831207,2.22338E-05,0.006421158
SCHB,-0.030437122,0.017719386,-0.009854092,-0.00920662,0.005956898,-0.006065959,-0.006065152,0.001323819,-0.001741061,0.010222276,0.009359311,-0.005569622,-0.001768859,-0.001181075,-0.008082532,0.018306842,-0.001733421,0.020711051,0.007001218,0.006911903
SCHC,-0.035586778,-0.010179359,0.011114296,-5.22464E-05,0.005876783,-0.019096573,0.02368266,0.011611029,-0.032104596,-0.00306551,-0.011292427,0.01278997,-0.003350049,0.004842963,0.006842517,-0.03774181,0.011214719,-0.011762712,-0.000551936,0.000391161
SCHE,-0.035359844,-0.025648888,0.056067725,0.012361964,-0.025859291,0.013087661,-0.011658008,-0.005126198,0.001053942,0.006866869,0.013241921,-0.008963441,0.001671654,0.011613319,0.002529277,-0.018267132,-0.013077167,0.010081578,-0.008786441,0.004057388
SCHF,-0.034958789,-0.001615101,0.01385909,-0.004486192,-0.005746675,-0.034635555,0.025208991,0.004396775,-0.045175407,0.004552407,-0.006718775,0.010032071,0.004117422,0.013489989,0.00911077,-0.015350522,-0.008861356,-0.012937093,0.008873519,-0.012300821
SCHG,-0.031955911,0.01621998,-0.011124549,-0.000339645,0.015575724,0.009251554,-0.013592637,0.015109099,-0.008929634,0.012994585,0.006475748,-0.005298677,-0.002585644,-0.004994278,-0.002319315,0.009469119,0.003781692,0.017822809,0.013415843,0.006216467
SCHV,-0.027052126,0.018273441,-0.005702273,-0.016503411,-0.005042092,-0.026506021,0.001961584,-0.009334665,-0.000109708,0.009919814,0.014613862,-0.007274096,-0.001960417,0.002970105,-0.017222592,0.035783332,-0.006313323,0.036422159,0.004578232,0.010437599
SCHX,-0.029532607,0.017464243,-0.008578017,-0.009184242,0.004127408,-0.009308159,-0.006068985,0.002466386,-0.004074837,0.012061819,0.010482872,-0.006251784,-0.002933108,-0.001916458,-0.01005386,0.022279879,-0.000386715,0.027102357,0.010469484,0.008711099
SCIN,-0.033536458,-0.028171241,0.096485137,0.015325753,-0.06371713,0.020927404,-0.114746464,0.008396423,0.029930327,0.012336556,0.036997297,0.169459581,0.128550035,-0.060025548,-0.055406727,-0.007096715,0.070997876,0.039541318,0.018149424,-0.043546581
SCJ,-0.017742228,0.009317002,0.009014437,-0.0204542,-0.006470869,-0.018106748,0.019216233,-0.009803101,-0.035495526,0.012339391,0.034611282,0.015137773,0.014734335,-0.013400093,0.012817505,-0.044406566,0.01016207,-0.069023346,0.04951002,-0.005340217
SCO,0.06009078,0.094303866,0.186227916,0.0063102,0.211834717,-0.146957824,0.066095523,0.110548243,0.120066885,0.043055792,0.07370386,-0.029045351,0.092058604,0.010745273,-0.022781972,0.004443898,-0.038650589,0.030299312,0.093041462,-0.026289344
SCZ,-0.033615949,-0.005421142,0.014908623,-0.003392446,-0.000379683,-0.033032856,0.029386894,0.005169894,-0.047214095,-0.005772258,-0.001289196,0.023157118,-0.00447931,0.001017029,0.014901817,-0.027697279,0.007557531,-0.02990491,0.012754413,0.002336706
SDD,0.072015114,-0.039123107,0.040834612,0.027150523,-0.037513459,-0.026605326,0.019964795,0.033821157,-0.031532669,0.040158609,-0.011151759,-0.01042685,-0.032084582,-0.028412432,-0.028548409,0.039908559,0.037638619,0.089261786,0.005538925,-0.04147366
SDOW,0.076530223,-0.044944848,0.021443751,0.043806777,-0.006372637,0.065564171,-0.000585574,0.004794369,0.032493342,-0.041513621,-0.060187187,0.021861854,0.008228826,0.038665249,0.066018752,-0.07555663,0.029572893,-0.029204618,-0.034540141,-0.084576783
SDP,0.027339443,-0.032185418,-0.018291336,0.10428436,0.021533362,-0.004193829,-0.000955806,0.021728148,0.043483894,-0.017143232,-0.049846167,0.038647056,0.03469294,0.020464343,0.104871675,-0.08248125,0.01573875,0.026945264,-0.03665141,0.005959513
