,dim0_KK1,dim0_KK2,dim0_KK3,dim0_KK4,dim0_KK5,,,
DBO,0.01496994,0.002137111,0.001842669,0.001152977,0.000943244,0.00000578,0,0
DBP,0.01496994,0.000673478,0.000648388,0.000631586,0.000593898,0.0000184,0.00000328,0
DBS,0.01496994,0.003254978,0.002186759,0.000574397,0.000517457,0.000000327,0,0
DBV,0.01496994,0.003383419,0.002148991,0.001811866,0.001721015,0.0000416,0,0
DDG,0.01496994,0.002620311,0.002394857,0.002119213,0.002081601,0.0000225,0,0
DDM,0.01496994,0.002385701,0.001583829,0.001323845,0.001193969,0.000000269,0,0
DEF,0.01496994,0.001934638,0.000922144,0.000751246,0.000745484,0.0000534,0,0
DEM,0.01496994,0.002997613,0.002306865,0.001832841,0.001416587,0.00000344,0.000000859,0
DES,0.01496994,0.001285156,0.000594242,0.000587645,0.000566483,0.00000499,0,0
DEW,0.01496994,0.002387899,0.00195769,0.001156765,0.000866498,0.0000193,0,0
DFE,0.01496994,0.010882948,0.004567347,0.002670672,0.001482688,0.00000963,0,0
DFJ,0.01496994,0.009376325,0.007311962,0.007173745,0.005720085,0.0000133,0,0
DGL,0.01496994,0.002700269,0.001620686,0.001617826,0.001093452,0.0000215,0.00000203,0
DGP,0.01496994,0.011541152,0.005161288,0.004888091,0.004771731,0.000077,0.00000313,0
DGS,0.01496994,0.006883809,0.002291461,0.002198097,0.001618277,0.000000927,0,0
DGT,0.01496994,0.000922107,0.000516749,0.000428409,0.00041763,0.00000354,0.000000103,0
DGZ,0.01496994,0.003120878,0.001765317,0.00158018,0.000927154,0.00000947,0.000000144,0
DHS,0.01496994,0.001043895,0.000929389,0.000581281,0.000543128,0.0000108,1.56E-08,0
DIA,0.01496994,0.000677668,0.00044166,0.000415629,0.000413959,0.00000181,0.00000035,0
DIG,0.01496994,0.00366142,0.003408426,0.003228336,0.002380711,0.00000821,0,0
DIM,0.01496994,0.001235838,0.001218509,0.00105377,0.00084372,0.00000586,0.00000438,0
DJCI,0.01496994,0.001878316,0.001600256,0.001376902,0.001176736,0.00000606,0,0
DJP,0.01496994,0.000942581,0.000537127,0.000236738,0.000223997,0.00000294,0,0
DLN,0.01496994,0.000443933,0.000331356,0.000308027,0.000292424,0.00000078,0.000000254,0
DLS,0.01496994,0.001737623,0.001239525,0.001179784,0.001162444,0.0000011,0,0
DNL,0.01496994,0.001543099,0.001064449,0.000974206,0.000884573,0.0000568,0,0
DNO,0.01496994,0.000990542,0.000568387,0.000503797,0.000479709,0.0000434,0,0
DOD,0.01496994,0.00288765,0.002436023,0.002338362,0.002230321,0.0000945,0,0
DOG,0.01496994,0.000500806,0.000337676,0.000328777,0.000327453,0.00000023,0.000000117,0
DOL,0.01496994,0.000693618,0.000614854,0.00055061,0.000512103,0.00000105,0,0
DON,0.01496994,0.000992261,0.000722734,0.000698852,0.000466432,0.000000271,0,0
DOO,0.01496994,0.002597312,0.001918802,0.001533445,0.00132961,0.0000103,0,0
DPK,0.01496994,0.01496994,0.008022086,0.003718903,0.003161484,0.00000516,0,0
DRN,0.01496994,0.01496994,0.008258995,0.004011417,0.002545276,0.00000356,0,0
DRR,0.01496994,0.01496994,0.010636647,0.009139965,0.008975494,0.0000191,0,0
DRV,0.01496994,0.010710675,0.004531418,0.004401091,0.003872466,0.0000133,0.00000105,0
DRW,0.01496994,0.003028837,0.0028428,0.002666716,0.00233296,0.0000127,0,0
DSI,0.01496994,0.000649575,0.000598051,0.000382474,0.000332427,0.00000219,0,0
DTD,0.01496994,0.00055536,0.000387532,0.000354102,0.000259542,0.000000398,0,0
DTH,0.01496994,0.001355392,0.001112736,0.000957547,0.000942802,0.00000776,0.000000485,0
DTN,0.01496994,0.000886736,0.000859498,0.000627259,0.000577554,0.0000023,0,0
DTO,0.01496994,0.005315361,0.003656318,0.00342964,0.002234581,0,0,0
ECH,0.01496994,0.009645482,0.008912761,0.006557441,0.005707679,0.0000633,0,0
EDC,0.01496994,0.008418976,0.00316101,0.003076406,0.002922902,0.000000286,0,0
EDV,0.01496994,0.001886403,0.001016541,0.000911954,0.000908171,0.00000979,0,0
EDZ,0.01496994,0.01496994,0.008769262,0.005319277,0.004327258,0.0000741,0.00000882,0
EEB,0.01496994,0.001724152,0.001674324,0.001450376,0.001201808,0.0000847,0,0
EEM,0.01496994,0.000397907,0.000346128,0.000309552,0.000306973,0.00000654,5.87E-08,0
EES,0.01496994,0.00149704,0.001245709,0.001191797,0.000864301,0.000104137,0.00000107,0
