,dim0_KK1,dim0_KK2,dim0_KK3,dim0_KK4,dim0_KK5,,,
MVV,0.01496994,0.002750668,0.002750505,0.002615538,0.001258737,0.0000755,0,0
MXI,0.01496994,0.001816208,0.001491546,0.001282264,0.001146183,0.0000168,0.00000215,0
MYY,0.01496994,0.000862958,0.000712643,0.000644769,0.000359107,7.04E-08,0,0
MZZ,0.01496994,0.006073614,0.00248181,0.002160124,0.001467813,0.000000323,0,0
NFO,0.01496994,0.001190057,0.000952588,0.000607214,0.000565363,0.00000181,0,0
NIB,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000106,0,0
NLR,0.01496994,0.01496994,0.01496994,0.011847523,0.008907409,0.0000709,0.00000656,0
NYF,0.01496994,0.001725382,0.001544901,0.001355558,0.001228776,0.0000129,0,0
OEF,0.01496994,0.000472067,0.000327353,0.000264049,0.000251981,0.00000911,0,0
OIL,0.01496994,0.000529838,0.000474424,0.000434787,0.000416269,0.0000242,0,0
OLO,0.01496994,0.002933623,0.002870116,0.002467193,0.00117847,0.000012,0.000000865,0
ONEQ,0.01496994,0.00040951,0.00034059,0.000242904,0.000242022,0.000000849,0,0
PAF,0.01496994,0.004959089,0.002872402,0.002462603,0.00183938,0.000038,0,0
PAGG,0.01496994,0.006735703,0.006181524,0.003911321,0.003360784,0.0000349,0,0
PALL,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000573,0.000000234,0
PBD,0.01496994,0.005925652,0.002618297,0.002042738,0.00174447,0.0000688,0.000035,0
PBE,0.01496994,0.003206225,0.002181081,0.002095974,0.002039584,0.0000922,0.00000339,0
PBJ,0.01496994,0.001542631,0.001032393,0.0009881,0.00096753,0.0000389,0,0
PBS,0.01496994,0.004051245,0.003706053,0.003473291,0.0031111,0.000000688,0,0
PBW,0.01496994,0.00416911,0.002370285,0.001590579,0.00144785,0.00000293,0,0
PCEF,0.01496994,0.005094161,0.002401136,0.001548557,0.001090395,0.0000467,0,0
PCY,0.01496994,0.007861469,0.003346311,0.00318501,0.001396789,0.00000268,0,0
PDN,0.01496994,0.006300143,0.002970675,0.00242053,0.002273304,0.00000685,0,0
PDP,0.01496994,0.002017007,0.001143384,0.000957668,0.000841928,0.0000314,0.00000288,0.000000633
PEJ,0.01496994,0.002625625,0.001590626,0.001556773,0.001470423,0.000011,0,0
PEZ,0.01496994,0.00156433,0.001526339,0.0014934,0.001344696,0.0000574,0.00000256,0
PFF,0.01496994,0.002089248,0.001606194,0.001342482,0.001039213,0.00000141,0,0
PFI,0.01496994,0.003630397,0.0016169,0.001103028,0.000942512,0.00000761,0.000000208,0
PFM,0.01496994,0.000389726,0.000370796,0.000292831,0.000236311,0.000000759,0,0
PGF,0.01496994,0.004653649,0.003113949,0.001725814,0.001540505,0.0000163,0,0
PGJ,0.01496994,0.01496994,0.003129994,0.002988428,0.002586498,0.000110919,0.00000105,0
PGM,0.01496994,0.012012596,0.009060256,0.008505588,0.008243673,0.000139953,0,0
PHO,0.01496994,0.001473858,0.001122041,0.001102336,0.001058516,0.0000171,0,0
PICB,0.01496994,0.00944126,0.002503886,0.002108034,0.001941719,0,0,0
PID,0.01496994,0.002488892,0.001953703,0.000733055,0.000731022,0.00000811,0,0
PIE,0.01496994,0.011697337,0.007847018,0.007329527,0.003213073,0.000125885,0,0
PIN,0.01496994,0.004634098,0.001357735,0.001018567,0.000693344,0.00000362,0,0
PIO,0.01496994,0.001852292,0.001581974,0.001093782,0.001059137,0.0000189,0.00000362,0
PIZ,0.01496994,0.004522263,0.001618329,0.001123849,0.001013322,0.00000171,0,0
PJP,0.01496994,0.003285578,0.003082167,0.002429814,0.002320149,0.0000232,0.0000039,0
PKB,0.01496994,0.007607394,0.006456641,0.006015201,0.005688964,0.0000502,0,0
PKW,0.01496994,0.000755354,0.000613333,0.000530775,0.000519659,0.0000681,0.000000552,0
PLND,0.01496994,0.01496994,0.01496994,0.011322885,0.010717752,0.0000499,0.000000362,0
PLW,0.01496994,0.000350611,0.000220793,0.000178763,0.000135205,0.000000168,0,0
PMR,0.01496994,0.005802591,0.005463337,0.005029554,0.004478129,0.00000163,0,0
PNQI,0.01496994,0.005199884,0.005038671,0.004648481,0.003503733,0.0000635,0,0
PPA,0.01496994,0.002219983,0.002119118,0.002015925,0.001350345,0.000013,0,0
PPLT,0.01496994,0.012738272,0.010592842,0.005871557,0.005435657,0.0000283,0,0
PRF,0.01496994,0.000392816,0.00035987,0.0000933,0.000083,0.000000668,0,0
PRFZ,0.01496994,0.000488488,0.000278586,0.000227685,0.000191263,0.00000681,0,0
PSAU,0.01496994,0.014895627,0.008837492,0.008337988,0.004711613,0.0000156,0,0
PSCC,0.01496994,0.004691742,0.002877393,0.002650258,0.002301813,0.0000157,0,0
PSCD,0.01496994,0.003290041,0.002046882,0.001789079,0.001658664,0.000022,0,0
PSCE,0.01496994,0.004619894,0.004270037,0.003857462,0.003837968,0.00000975,0,0
PSCF,0.01496994,0.00158688,0.001555722,0.001256602,0.001127224,0.0000054,0,0
PSCH,0.01496994,0.005044217,0.00217839,0.002089345,0.001990681,0.0000383,0.00000105,0
PSCI,0.01496994,0.002498249,0.001560056,0.00122186,0.00100285,0.0000133,0,0
PSCM,0.01496994,0.008813609,0.008277244,0.00631804,0.005846782,0.0000119,0,0
PSCT,0.01496994,0.001350537,0.001159559,0.001051104,0.000848248,0.0000173,0,0
PSCU,0.01496994,0.007210393,0.003257587,0.002910767,0.002735254,0.00000292,0,0
PSI,0.01496994,0.005189296,0.004125887,0.003093817,0.002817007,0.000036,0,0
PSJ,0.01496994,0.003770518,0.002371417,0.002168113,0.001985336,0.0000128,0,0
PSK,0.01496994,0.002505064,0.002083379,0.001807983,0.001739285,0.0000337,0,0
PSL,0.01496994,0.005278043,0.00132449,0.000945108,0.000765929,0.0000494,2.54E-08,0
PSP,0.01496994,0.004968656,0.004701841,0.004632991,0.003165922,0.0000432,0,0
PSQ,0.01496994,0.000665899,0.000582002,0.000489237,0.00045506,0.0000257,0,0
PSR,0.01496994,0.003711513,0.001511043,0.000807848,0.000670809,0.00000574,0,0
PST,0.01496994,0.001007475,0.000945887,0.000914884,0.000869557,0.0000196,5.33E-09,0
QABA,0.01496994,0.004682538,0.003005196,0.002594506,0.002333438,0.0000155,0.00000007,0
QAI,0.01496994,0.000406005,0.000377436,0.000377184,0.000309213,0.00000042,6.96E-08,0
QCLN,0.01496994,0.005796383,0.004709374,0.003783431,0.003151781,0.00000785,0,0
QID,0.01496994,0.002426777,0.002187718,0.002174456,0.00215781,0.000107289,0.0000023,0
QLD,0.01496994,0.002016433,0.001995386,0.001851612,0.001618837,0.0000226,0,0
QQEW,0.01496994,0.000534558,0.000531189,0.000464388,0.000320209,0.00000312,0,0
QQQ,0.01496994,0.000594385,0.000578416,0.000406735,0.00035452,0.0000105,0,0
QQQC,0.01496994,0.01098917,0.01073565,0.008377911,0.007566601,0.0000809,0.0000447,0
QQXT,0.01496994,0.001684851,0.000633878,0.000577319,0.000556133,0.0000021,0,0
QTEC,0.01496994,0.001892542,0.000900205,0.000800407,0.000705302,0.0000249,0,0
RBL,0.01496994,0.006512047,0.006335308,0.005578693,0.004161131,0.0000148,0.000000171,0
RCD,0.01496994,0.01355032,0.009526482,0.006661487,0.001775875,0.00000171,0,0
REK,0.01496994,0.000523218,0.000472701,0.000468258,0.000396472,0.0000025,0,0
REM,0.01496994,0.007765668,0.0063161,0.00420791,0.004067781,0.00000803,0,0
RETL,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.000162742,0,0
REW,0.01496994,0.006621537,0.003689009,0.003216009,0.003079623,0.0000267,0,0
REZ,0.01496994,0.00161368,0.001275866,0.001250829,0.000915354,0.0000168,0.000000349,0
RFG,0.01496994,0.002746724,0.001637969,0.001403453,0.001110734,0.00000935,0,0
RFV,0.01496994,0.003479966,0.001909863,0.001754881,0.001489798,0.0000103,0,0
RGI,0.01496994,0.001360446,0.001055764,0.001043598,0.000894313,0.00000111,0,0
RHS,0.01496994,0.002011585,0.001289009,0.001169568,0.001159666,0.00000636,0,0
RJA,0.01496994,0.000848303,0.000648795,0.00058206,0.0004688,0.00000507,0,0
RJI,0.01496994,0.000414262,0.000266546,0.000264073,0.000234517,0.00000196,0,0
RJZ,0.01496994,0.001778875,0.001324672,0.001214392,0.000976807,0.0000025,0,0
ROM,0.01496994,0.005238417,0.003291918,0.002551854,0.002510917,0.00000644,0,0
RPG,0.01496994,0.001225424,0.001120199,0.00099702,0.000923402,0.00000341,0,0
RPV,0.01496994,0.002083327,0.002030208,0.001848651,0.001216606,0.00000697,0,0
RSP,0.01496994,0.000197042,0.000183922,0.000168909,0.000148012,0.00000543,0.000000195,0
RSX,0.01496994,0.010132837,0.006703062,0.005581576,0.005464709,0.0000365,0,0
RTM,0.01496994,0.002166299,0.002014631,0.001578987,0.001324351,0.0000101,0,0
RWJ,0.01496994,0.000692486,0.000344422,0.00033719,0.000316058,0.00000798,0.00000263,0.00000119
RWK,0.01496994,0.001288315,0.001049582,0.000992984,0.000695991,0.0000152,0,0
RWL,0.01496994,0.000452204,0.00026117,0.000227561,0.000219986,0.00000163,0,0
RWM,0.01496994,0.001017371,0.000250857,0.000244722,0.000243052,0.000000612,0,0
RWO,0.01496994,0.003741392,0.003275111,0.001140345,0.00106314,0.00000111,0,0
RWR,0.01496994,0.001227522,0.001042731,0.000362884,0.000242282,0.0000026,0,0
RWW,0.01496994,0.005782731,0.003382554,0.003265495,0.002854457,0.0000231,0.000000182,0
RWX,0.01496994,0.006624538,0.005558567,0.004376031,0.004352136,0.00000111,0.000000295,0
RXD,0.01496994,0.009084367,0.008986187,0.006683821,0.00657984,0.0000395,0.000000982,0
RXI,0.01496994,0.001588996,0.000857644,0.000610192,0.000577399,0.0000115,0,0
RXL,0.01496994,0.005611957,0.005492115,0.004304941,0.004130474,0.0000239,0.00000017,0
RYE,0.01496994,0.002709433,0.002321771,0.002287602,0.001794654,0.00000299,0,0
RYF,0.01496994,0.00331408,0.002810747,0.002447144,0.001352436,0.0000245,0,0
RYH,0.01496994,0.001791028,0.001267321,0.001144512,0.001137047,0.0000131,0,0
RYJ,0.01496994,0.00086172,0.000667791,0.000642002,0.000569787,0.000000501,0,0
RYT,0.01496994,0.002258947,0.001631752,0.001459241,0.001031422,0,0,0
RYU,0.01496994,0.003354995,0.003098611,0.002729565,0.001573908,0.00000445,0,0
RZG,0.01496994,0.001754255,0.001478727,0.000984932,0.000855504,0.00000584,0.000000501,0
RZV,0.01496994,0.002338831,0.002283452,0.002112356,0.001596271,0.0000265,0,0
SAA,0.01496994,0.002724532,0.001802294,0.00098724,0.000855795,0.0000442,0.000000221,0
SBB,0.01496994,0.000951222,0.00043219,0.000368069,0.000273209,0.00000104,0,0
SCHA,0.01496994,0.000168679,0.000158332,0.00012028,0.0000902,0.0000142,0,0
SCHB,0.01496994,0.000185405,0.0000862,0.0000852,0.0000791,0.0000115,0,0
SCHC,0.01496994,0.00445689,0.002970958,0.00111173,0.000832876,0.00000512,0,0
SCHE,0.01496994,0.00131656,0.001032107,0.000411011,0.000366097,0.00000245,0,0
SCHF,0.01496994,0.001679191,0.00074085,0.000480852,0.000439591,0.00000428,0,0
SCHG,0.01496994,0.000295572,0.000200664,0.000195637,0.000188563,0.00000227,0.00000104,0
SCHV,0.01496994,0.000187995,0.000186249,0.000161416,0.000156139,0.00000146,0,0
SCHX,0.01496994,0.000202206,0.000137238,0.000119437,0.000105403,0.0000115,0,0
SCIN,0.01496994,0.01496994,0.007176079,0.005761966,0.005236881,0.0000631,0,0
SCJ,0.01496994,0.007800722,0.005949433,0.005613749,0.00554169,0.0000394,0,0
SCO,0.01496994,0.002011481,0.001956832,0.001460072,0.001325852,0.00000734,0.00000112,0
SCZ,0.01496994,0.00282912,0.0022215,0.00120709,0.000937247,0.0000108,0.000000225,0
SDD,0.01496994,0.004488622,0.003132102,0.002070492,0.001615956,0.000014,0,0
SDOW,0.01496994,0.004787416,0.003924926,0.003259514,0.003174121,0.00000292,0,0
SDP,0.01496994,0.01496994,0.014068688,0.008866679,0.008745578,0.000117766,0,0
SDS,0.01496994,0.002671785,0.000998371,0.000963911,0.000875902,0.00000394,0,0
SDY,0.01496994,0.00092582,0.000912154,0.000584206,0.000571772,0.000000399,0,0
SEA,0.01496994,0.01496994,0.01496994,0.006790682,0.005132907,0.0000069,0,0
SEF,0.01496994,0.003433252,0.000682136,0.000474091,0.000368147,0.00000251,0.00000018,0
SGG,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.00000346,0,0
SGOL,0.01496994,0.002942053,0.001513792,0.001094807,0.001033224,0.0000241,0.00000299,0
SH,0.01496994,0.00038919,0.00027976,0.000195796,0.000155094,0.000000336,0,0
SIJ,0.01496994,0.010584752,0.007703877,0.006863584,0.004553034,0.0000364,0.000000249,0
SIL,0.01496994,0.006566616,0.006329183,0.005834135,0.00564984,0.0000168,0,0
SIVR,0.01496994,0.002097811,0.001635981,0.000543873,0.000358418,0.00000268,0,0
SKF,0.01496994,0.01496994,0.002394854,0.002142191,0.001894294,0.00000026,0,0
SLV,0.01496994,0.002277558,0.002027262,0.000489716,0.000375793,0.00000337,0,0
SLX,0.01496994,0.012973513,0.009781006,0.008580735,0.004730375,0.00000514,0,0
SLY,0.01496994,0.000959795,0.000798382,0.000589524,0.000497558,0.0000102,3.13E-08,0
SLYG,0.01496994,0.001868072,0.001563584,0.000705542,0.000695705,0.00000269,0,0
SLYV,0.01496994,0.000730125,0.000695222,0.000649722,0.00062091,0.0000139,0.00000215,0
SMDD,0.01496994,0.01496994,0.006142483,0.005019763,0.003691219,0.000000974,0,0
SMMU,0.01496994,0.000186414,0.000168224,0.0000796,0.0000629,0.000000532,0,0
SMN,0.01496994,0.01496994,0.009842984,0.006896341,0.005133707,0.0000171,0,0
SOXL,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.000155657,0.0000012,0.000000456
TAN,0.01496994,0.010239905,0.007043772,0.005571018,0.004468228,0.00000252,0,0
TAO,0.01496994,0.01496994,0.011786338,0.009540697,0.007776578,0.0000138,0,0
TBF,0.01496994,0.000383184,0.000370436,0.000248859,0.000244791,0.000000957,1.86E-08,0
TBT,0.01496994,0.001642176,0.001443298,0.000895556,0.000875844,0.00000372,0.000000746,0
TECL,0.01496994,0.006809014,0.006790647,0.004980374,0.00387691,0.000107694,0.00000107,0
TECS,0.01496994,0.010199265,0.00685785,0.00662578,0.005350107,0.0000176,0,0
THD,0.01496994,0.01496994,0.01496994,0.009453825,0.008982084,0.0000383,0,0
TIP,0.01496994,0.001664602,0.001248135,0.001184011,0.000734708,4.91E-08,0,0
TIPZ,0.01496994,0.001996964,0.001483079,0.000903179,0.000806557,0.00000117,0,0
TLH,0.01496994,0.000436643,0.000378298,0.000315687,0.000271804,0.00000161,0,0
TLO,0.01496994,0.000317521,0.000224104,0.000223559,0.000205779,0.000000254,0,0
TLT,0.01496994,0.000319951,0.000211401,0.000203538,0.000201429,0.00000095,0,0
TMF,0.01496994,0.002769546,0.002298267,0.001598301,0.00157437,0.000016,0,0
TMV,0.01496994,0.00349389,0.003353398,0.00262594,0.002298821,0.0000084,0,0
TNA,0.01496994,0.007748626,0.003105323,0.002998448,0.002895222,0.0000247,0.00000472,0.00000309
TOK,0.01496994,0.00143511,0.001405747,0.001305723,0.001019766,0.0000336,0,0
TQQQ,0.01496994,0.005739316,0.004585019,0.003511424,0.003428028,0.0000241,0,0
TUR,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.00000258,0,0
TWM,0.01496994,0.007801553,0.001553662,0.001400284,0.001015906,0.00000228,0,0
TYD,0.01496994,0.002897465,0.002740786,0.002197374,0.002104075,0.00000667,0,0
TYO,0.01496994,0.002362217,0.002102723,0.001746079,0.001732555,0.0000982,0,0
TZA,0.01496994,0.01496994,0.00483933,0.004071306,0.003494953,0.00000486,0,0
UBR,0.01496994,0.007709394,0.00764657,0.007609642,0.007578423,0.000152804,0,0
UBT,0.01496994,0.002118776,0.001165548,0.000846183,0.000825822,0.00000462,0,0
UCC,0.01496994,0.011015628,0.008151312,0.007394827,0.004924386,0.000141645,0,0
UCI,0.01496994,0.001562412,0.000875752,0.00062627,0.000594221,0.00000463,0,0
UCO,0.01496994,0.001775661,0.001730772,0.001612224,0.001485706,0.00000886,0.000000142,0
UDN,0.01496994,0.00308233,0.001323241,0.001099921,0.001041609,0.00000492,0,0
UDOW,0.01496994,0.005185428,0.004223469,0.003173294,0.002938317,0.00000134,0,0
UGA,0.01496994,0.013258649,0.012318201,0.011709692,0.011262306,0.0000838,0.000000519,0
UGE,0.01496994,0.010464524,0.007526385,0.00578075,0.005376148,0.0000783,0.0000232,0
UGL,0.01496994,0.011595486,0.006007975,0.003873275,0.003837627,0.0000866,0.0000199,0
UHN,0.01496994,0.006071966,0.005150025,0.004386413,0.004359742,0.0000713,0.000000783,0
ULE,0.01496994,0.014964977,0.010415776,0.00860346,0.00819356,0.00000817,0,0
UMDD,0.01496994,0.006647885,0.005202793,0.004240551,0.003291447,0.00000527,0.000000336,0
UNG,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000585,0,0
UNL,0.01496994,0.01496994,0.01496994,0.01496994,0.0080269,0.000165471,0.00000064,0
UPRO,0.01496994,0.002401195,0.001167575,0.001098593,0.000805374,0.000000502,0,0
UPV,0.01496994,0.008631121,0.008000923,0.006157141,0.004554854,0.0000322,0,0
UPW,0.01496994,0.01496994,0.013175654,0.012067673,0.008023631,0,0,0
URE,0.01496994,0.005215486,0.002958261,0.002514518,0.002079522,0.00000157,0,0
URTY,0.01496994,0.00893617,0.003262653,0.003093221,0.002343041,0.00000284,0,0
USD,0.01496994,0.011790975,0.008637459,0.007288921,0.00649373,0.0000629,0,0
USL,0.01496994,0.000949969,0.000677506,0.000671962,0.000436492,0.0000148,0,0
USO,0.01496994,0.000380157,0.000377832,0.000280741,0.000250906,0.00000145,0.000000176,0
UST,0.01496994,0.001232479,0.001148708,0.001004817,0.000999643,0.000000532,0,0
UUP,0.01496994,0.002433396,0.001156401,0.001093116,0.001006184,0.00000829,0.00000198,0
UWM,0.01496994,0.001569814,0.001170861,0.001020919,0.000885001,0.00000522,0.00000105,0
UXI,0.01496994,0.003951859,0.003900653,0.003778452,0.002690736,0.00000506,0,0
UYG,0.01496994,0.001585891,0.001513146,0.001182273,0.000729106,0.00000375,0.00000012,0
UYM,0.01496994,0.007942998,0.005608314,0.003780847,0.003316978,0.0000992,0.00002,0.000000254
VAW,0.01496994,0.00248365,0.001841884,0.001024703,0.000907407,0.0000263,0.00000164,0
VB,0.01496994,0.000758799,0.000680111,0.000602979,0.000301612,0.0000287,0,0
VBK,0.01496994,0.00041908,0.000331947,0.000178311,0.000175319,0.00000193,0,0
VBR,0.01496994,0.001189774,0.001090836,0.000979332,0.000853749,0.000000451,0,0
VCIT,0.01496994,0.001320972,0.000948146,0.000533869,0.000351395,0.00000566,0.000000226,0
VCLT,0.01496994,0.002607894,0.00150324,0.001104136,0.000740848,0.00000182,0,0
VCR,0.01496994,0.001764382,0.001680845,0.001139779,0.000778978,0.0000122,0,0
VDC,0.01496994,0.001924701,0.00141236,0.001219868,0.001103887,0.0000128,0,0
VDE,0.01496994,0.000954502,0.000896518,0.0008308,0.000785,0.000000242,0,0
VEA,0.01496994,0.002658421,0.000425577,0.000379266,0.000319315,0.00000881,0.000000427,0
VEU,0.01496994,0.001279812,0.000276018,0.000244116,0.000237005,0.000000679,0.000000296,0
VFH,0.01496994,0.000800807,0.000681294,0.000365692,0.000321534,0.00000889,0,0
VGIT,0.01496994,0.000412602,0.000254495,0.000158386,0.000141274,0.00000237,0,0
VGK,0.01496994,0.002703487,0.00130169,0.001097861,0.00092651,0.0000112,0,0
VGLT,0.01496994,0.000550731,0.00043989,0.000144586,0.000102564,0.00000175,0,0
VGT,0.01496994,0.000901169,0.000631029,0.000472163,0.000360146,0.00000442,0.000000349,0
VHT,0.01496994,0.001225472,0.001165186,0.00106736,0.000962371,0.0000148,0,0
VIG,0.01496994,0.000519249,0.000358951,0.000280305,0.000265002,0.00000307,9.82E-08,0
VIS,0.01496994,0.001121254,0.000992975,0.000891042,0.000851816,0.000039,0.000000114,0
VMBS,0.01496994,0.000545132,0.000516648,0.000191218,0.00017962,0.00000438,0,0
VNM,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.000021,0,0
VNQ,0.01496994,0.001369949,0.000497697,0.000384418,0.000336943,0.00000402,0.000000186,0
VO,0.01496994,0.001030886,0.000624654,0.000263326,0.000240659,0.0000118,0.00000285,0
VOE,0.01496994,0.001539586,0.00086842,0.000747029,0.000480088,0.00000266,0,0
VOT,0.01496994,0.000716738,0.00068439,0.0005632,0.000383107,0.00000484,0,0
VOX,0.01496994,0.006944333,0.005205079,0.004941761,0.003407438,0.0000959,0,0
VPL,0.01496994,0.004707969,0.00383273,0.002935458,0.002193871,0.0000104,0,0
VPU,0.01496994,0.005266845,0.003543211,0.002134059,0.002098299,0.0000648,0,0
VSS,0.01496994,0.002386734,0.001086256,0.001054168,0.000972851,0.0000581,0.000000666,0
VT,0.01496994,0.000907837,0.000236293,0.000160006,0.00015241,0.00000623,0,0
VTI,0.01496994,0.000196445,0.00012306,0.000102045,0.000100829,0.00000289,0,0
VTV,0.01496994,0.000491636,0.000457764,0.000287614,0.000274763,0.0000026,0.000000252,6.93E-08
VUG,0.01496994,0.000363488,0.000336508,0.00026605,0.000165125,0,0,0
VV,0.01496994,0.000357578,0.000177239,0.000139405,0.000121331,0.00000011,0,0
VWO,0.01496994,0.000365482,0.000338133,0.000311431,0.000231287,0.00000632,3.11E-09,0
VXF,0.01496994,0.000531613,0.000395105,0.00035283,0.000258456,0.000000185,0,0
VXX,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0.0000189,0,0
VXZ,0.01496994,0.014565212,0.011066681,0.01037435,0.00968793,0.0000107,0,0
VYM,0.01496994,0.000749927,0.000474373,0.000354915,0.000346895,0.00000122,0.000000108,0
WIP,0.01496994,0.002076766,0.001926349,0.000648971,0.000567904,0.000000592,0,0
WMCR,0.01496994,0.00850689,0.001391446,0.001230841,0.001228656,0.00000099,0,0
WMW,0.01496994,0.004874305,0.004183851,0.002613878,0.002236823,0.00000851,0,0
WOOD,0.01496994,0.006089883,0.004182894,0.002929017,0.002586446,0.0000512,0,0
WPS,0.01496994,0.006815035,0.005105576,0.003166694,0.002455178,0.000053,0,0
WREI,0.01496994,0.001748275,0.001711688,0.001349155,0.001310896,0.000000521,0,0
XBI,0.01496994,0.011653537,0.003927041,0.003455383,0.002933525,0.00000553,0,0
XES,0.01496994,0.003035916,0.002732471,0.002674142,0.00245066,0.0000703,0.00000744,0
XHB,0.01496994,0.01496994,0.009628812,0.009571984,0.009436764,0.0000193,0,0
XLB,0.01496994,0.00300311,0.002918198,0.002107339,0.00142821,0.00000924,0,0
XLE,0.01496994,0.001645872,0.000964568,0.000831914,0.000745084,0.000000727,0,0
XLF,0.01496994,0.000862113,0.000692003,0.000645473,0.000555387,0.000000996,0,0
XLG,0.01496994,0.001145123,0.000455198,0.000387659,0.0003642,0.00000105,0,0
XLI,0.01496994,0.00134442,0.001154116,0.000990612,0.000948042,0.00000169,0,0
XLK,0.01496994,0.001253407,0.000963669,0.000601577,0.000580832,0.00000376,0,0
XLP,0.01496994,0.001898197,0.001849317,0.0012607,0.001162843,0.0000266,0,0
XLU,0.01496994,0.004451048,0.003179628,0.00268839,0.002578129,0,0,0
XLV,0.01496994,0.001448044,0.001128033,0.000977357,0.000932642,0.0000068,0,0
XLY,0.01496994,0.002467263,0.002408322,0.001133979,0.001100911,0.0000546,0.000000263,0
XME,0.01496994,0.006747504,0.006620522,0.006511704,0.005911115,0.0000585,0.00000556,0
XOP,0.01496994,0.004293043,0.003850156,0.003651568,0.002051385,0.00000559,0,0
XPH,0.01496994,0.004780586,0.00408386,0.003129163,0.002526208,0.0000845,0,0
XPP,0.01496994,0.01496994,0.01496994,0.013747678,0.006781241,0.0000102,0,0
XRT,0.01496994,0.005518317,0.003447241,0.003132578,0.002954672,0.0000319,0.00000113,0
XSD,0.01496994,0.005228055,0.003726776,0.003183921,0.003123692,0.0000239,0.000000357,0
YANG,0.01496994,0.01496994,0.01496994,0.010978377,0.009549916,0.0000306,0,0
YAO,0.01496994,0.002382297,0.002241881,0.001888339,0.001293158,0.00000757,4.04E-08,0
YCL,0.01496994,0.01496994,0.014874982,0.014488336,0.012702822,0.00000171,0,0
YCS,0.01496994,0.01496994,0.01496994,0.013532366,0.012794908,0.000003,0,0
YINN,0.01496994,0.01496994,0.006544054,0.006448386,0.005639622,0.00000126,0,0
YXI,0.01496994,0.007763642,0.004690008,0.003537424,0.003099741,0.0000204,0,0
ZROZ,0.01496994,0.001921541,0.001781705,0.001455071,0.001151999,0.0000151,0,0
ZSL,0.01496994,0.01496994,0.01496994,0.01496994,0.01496994,0,0,0
