,AADR,AAXJ,ACWI,ACWX,ADRA,ADRD,ADRE,ADRU,AFK,AGG,AGQ,AGZ,AIA,AMJ,AOA,AOK,AOM,AOR,AUSE,AXJL,BAB,BAL,BDD,BIB,BICK,BIS,BIV,BJK,BKF,BLV,BND,BNO,BRAQ,BRAZ,BRF,BWX,BWZ,BZF,BZQ,CEW,CGW,CHII,CHIM,CHIQ,CHIX,CIU,CLY,CMD,CMF,CNDA,CNY,COPX,CORN,COW,CPI,CQQQ,CSD,CSM,CUT,CVY,CWB,CWI,CZA,DAG,DBA,DBB,DBC,DBE,DBO,DBP,DBS,DBV,DDG,DDM,DEF,DEM,DES,DEW,DFE,DFJ,DGL,DGP,DGS,DGT,DGZ,DHS,DIA,DIG,DIM,DJCI,DJP,DLN,DLS,DNL,DNO,DOD,DOG,DOL,DON,DOO,DPK,DRN,DRR,DRV,DRW,DSI,DTD,DTH,DTN,DTO,ECH,EDC,EDV,EDZ,EEB,EEM,EES,EET,EEV,EFA,EFG,EFO,EFU,EFV,EFZ,EGPT,EIDO,EIRL,EIS,EMB,EMIF,EMLC,ENY,EPI,EPOL,EPP,EPS,EPU,EPV,EQL,ERX,ERY,FAB,FAD,FAN,FAS,FAZ,FBT,FCG,FDD,FDL,FDM,FDN,FEU,FEX,FEZ,FFR,FGD,FIW,FLM,FNI,FNX,GAF,GASL,GAZ,GBF,GCC,GCE,GDX,GDXJ,GEX,GII,GLD,GLL,GMF,GML,GMM,GRES,GRI,GRID,GRN,GRU,GSC,GSG,GSP,GULF,GUR,GVI,GWL,GWX,GXC,GXF,GXG,HAO,HAP,HEDJ,HGI,HYG,IAI,IAK,IAT,IAU,IBB,IBND,ICF,ICLN,IDHQ,IDU,IDV,IDX,IEF,IEI,IEO,IEV,IEZ,IFEU,IFGL,IGE,IGF,IGM,IGN,IGOV,IGV,IHE,IHF,IHI,IJH,IJJ,IJK,IJR,IJS,IJT,ILF,ILTB,INDL,INDY,INP,IOO,IPD,IPE,IPF,IPK,IPN,IPS,IPU,IPW,IRV,IRY,JJA,JJC,JJE,JJG,JJM,JJN,JJP,JJU,JKD,JKE,JKF,JKG,JKH,JKI,JKJ,JKK,JKL,JNK,JO,JXI,KBE,KCE,KIE,KOL,KRE,KROO,KRU,KWT,KXI,LBJ,LIT,LQD,LTPZ,LVL,LWC,MBB,MBG,MCRO,MDY,MDYG,MDYV,MGC,MGK,MGV,MIDU,MIDZ,MLN,MLPG,MLPI,MNA,MOO,MTK,MUB,MUNI,MVV,MXI,MYY,MZZ,NFO,NIB,NLR,NYF,OEF,OIL,OLO,ONEQ,PAF,PAGG,PALL,PBD,PBE,PBJ,PBS,PBW,PCEF,PCY,PDN,PDP,PEJ,PEZ,PFF,PFI,PFM,PGF,PGJ,PGM,PHO,PICB,PID,PIE,PIN,PIO,PIZ,PJP,PKB,PKW,PLND,PLW,PMR,PNQI,PPA,PPLT,PRF,PRFZ,PSAU,PSCC,PSCD,PSCE,PSCF,PSCH,PSCI,PSCM,PSCT,PSCU,PSI,PSJ,PSK,PSL,PSP,PSQ,PSR,PST,QABA,QAI,QCLN,QID,QLD,QQEW,QQQ,QQQC,QQXT,QTEC,RBL,RCD,REK,REM,RETL,REW,REZ,RFG,RFV,RGI,RHS,RJA,RJI,RJZ,ROM,RPG,RPV,RSP,RSX,RTM,RWJ,RWK,RWL,RWM,RWO,RWR,RWW,RWX,RXD,RXI,RXL,RYE,RYF,RYH,RYJ,RYT,RYU,RZG,RZV,SAA,SBB,SCHA,SCHB,SCHC,SCHE,SCHF,SCHG,SCHV,SCHX,SCIN,SCJ,SCO,SCZ,SDD,SDOW,SDP,SDS,SDY,SEA,SEF,SGG,SGOL,SH,SIJ,SIL,SIVR,SKF,SLV,SLX,SLY,SLYG,SLYV,SMDD,SMMU,SMN,SOXL,TAN,TAO,TBF,TBT,TECL,TECS,THD,TIP,TIPZ,TLH,TLO,TLT,TMF,TMV,TNA,TOK,TQQQ,TUR,TWM,TYD,TYO,TZA,UBR,UBT,UCC,UCI,UCO,UDN,UDOW,UGA,UGE,UGL,UHN,ULE,UMDD,UNG,UNL,UPRO,UPV,UPW,URE,URTY,USD,USL,USO,UST,UUP,UWM,UXI,UYG,UYM,VAW,VB,VBK,VBR,VCIT,VCLT,VCR,VDC,VDE,VEA,VEU,VFH,VGIT,VGK,VGLT,VGT,VHT,VIG,VIS,VMBS,VNM,VNQ,VO,VOE,VOT,VOX,VPL,VPU,VSS,VT,VTI,VTV,VUG,VV,VWO,VXF,VXX,VXZ,VYM,WIP,WMCR,WMW,WOOD,WPS,WREI,XBI,XES,XHB,XLB,XLE,XLF,XLG,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,XPH,XPP,XRT,XSD,YANG,YAO,YCL,YCS,YINN,YXI,ZROZ,ZSL
1,12.13938947,8.438543224,11.09903626,8.486579962,8.631658168,9.756799266,9.530497001,10.14682995,8.75183469,1.901607219,139.3257841,1.208419837,8.392256257,12.01735992,12.55538496,3.848797591,5.374854707,8.520528515,9.311539627,7.628871972,6.191735162,49.93379142,27.42661897,152.0651379,12.816306,23.5391022,2.754055348,28.57458264,10.57161308,6.796791053,1.800066366,18.66495551,11.69502891,11.3110866,17.61711971,3.665688547,3.954161636,11.69299241,16.23302133,4.66638598,14.27106269,15.83642326,19.55331276,12.69861878,13.0999333,1.68135511,5.748674008,109.2320543,5.146498286,17.56554094,2.013818296,24.23913926,23.20593838,6.18094186,1.597290539,15.87033714,35.16821232,19.77978741,13.92272614,8.75955208,7.475772806,8.598171288,20.84930578,30.08072599,10.84303795,12.45548827,10.80717583,11.41969876,11.26964065,18.33789872,41.02855127,5.917186721,14.01440174,41.11912387,14.58522455,8.559635687,17.09770183,7.66881139,18.60405375,8.673060234,15.11166708,38.2849086,10.02937679,10.56610875,10.01000356,14.86855801,15.04842321,36.61164215,9.714510396,10.53629422,10.96264142,15.83946168,11.79274717,8.714273698,9.878836486,23.65117184,12.45019798,9.058881283,16.890861,9.034025327,23.14448763,54.08967814,7.608068102,22.95683043,9.914631017,17.09166184,15.93903823,9.465513203,15.85678475,17.92318986,13.66906552,29.24200126,16.68055427,20.29480125,11.43536065,9.143243987,23.18287195,19.11808957,14.8287653,9.730412654,10.19711941,22.33605663,18.69042614,9.65169458,11.12208998,16.58434516,13.54256003,22.74700616,12.74560869,4.25808921,9.398088586,4.440984154,15.57325486,15.71705734,17.0532387,9.258653641,17.53340966,13.93240488,21.34598653,16.59035577,55.63336455,24.9873837,21.07644673,20.4050708,14.03347646,50.22235609,26.37573326,30.99883636,13.8904585,9.627726049,13.64200654,21.2278653,31.63097885,9.484538789,18.6079444,13.05976915,11.75758425,7.748783514,21.85930701,12.12813064,11.92566718,22.13771291,8.311048206,39.8695627,21.82510653,2.444183878,10.47039481,5.27605968,22.95228553,33.79822401,15.1597258,5.119319614,14.56030501,16.75069907,8.502883801,10.42925776,8.363932081,7.603601182,11.12875515,11.01041106,27.42241239,15.25239158,11.36213804,9.520469551,10.60210163,11.24454419,14.26628486,1.44775206,9.261120672,9.240342144,10.02454436,14.06532348,9.255180565,14.24895416,9.676905218,10.38127922,8.19596177,3.709489873,18.95063218,20.14877485,17.2239053,14.63469584,45.77277038,4.765533628,13.23794999,18.1260205,9.841613641,9.262776547,9.133067757,13.28481847,4.60951151,2.333925106,17.78713211,11.23343388,17.55186118,11.31699706,11.60410064,11.46305931,6.530458794,18.69117102,13.18062902,3.732751819,18.88213439,27.71316857,27.04344179,20.29077819,19.55975224,18.18589825,20.91415238,23.86719299,22.26879007,25.63587832,10.66315695,7.141748352,29.16148368,13.27978534,14.29374675,11.0535265,17.87440117,4.548108901,11.7269225,11.29680011,10.37602289,11.35845339,9.449165547,10.0991275,13.32007857,15.81256631,15.14319962,13.72880455,12.18943786,18.47297258,14.17613554,21.59304224,19.6043181,15.66902421,18.40948129,20.45234023,13.46890313,20.90363063,20.40475795,18.3743604,19.58548812,24.67688167,18.48977712,3.541153398,31.81571316,4.810733902,16.55976104,18.20201749,20.74471357,24.69456448,23.0110091,16.25984197,43.46390942,25.12923788,13.61181374,32.97876028,18.41082355,3.570773677,10.51356967,8.583931931,5.472126367,1.550840188,1.614939223,2.637133352,19.72250802,21.09818717,17.59927134,17.46228409,19.93554879,15.34766182,42.28932054,25.09563521,6.187011562,11.3215594,11.58904764,3.287447961,10.04207581,16.30368849,4.238033565,2.640328516,46.59638657,10.77323884,14.35691121,21.87326001,18.85802661,14.3547227,17.83748489,3.468898368,16.76274691,11.27990702,11.12452632,21.99355374,9.724769837,10.4642019,20.53887381,16.25212854,28.07561434,17.54388548,31.40896074,20.42323704,4.012294312,5.068385933,10.62621674,21.75232688,33.5242101,24.8563961,3.556002513,20.26379139,14.55904681,4.165650587,14.31907297,10.303165,17.1588532,3.653751215,8.411884443,11.58039672,13.35735136,11.61511113,13.64038728,45.48213783,25.76288332,27.20532777,15.78879713,6.146067519,29.94584515,37.68541924,21.93795605,9.126983002,18.18825641,22.08633696,20.9861219,22.9829677,28.68944575,28.94209246,18.62925862,35.54224784,24.1935254,23.58203293,23.77419045,10.82194284,13.03406288,18.36795501,4.124463974,17.59139095,13.54895223,15.10722404,15.57223901,10.04095364,18.87903443,2.066856785,16.28997864,22.53973365,61.26021224,20.87262988,23.53610825,16.23644687,23.59956553,17.2650469,15.24281603,27.96803048,12.27214051,7.73497224,123.9151339,22.06209728,14.61423836,25.02825733,20.07572504,20.28383761,18.21437555,14.04464553,10.64438668,12.63379456,33.67825788,25.52979734,25.86172359,19.36401008,15.46402868,14.09353617,26.31449111,20.96821068,19.87522074,15.91395658,11.61653067,13.97412456,20.43730919,11.0411708,20.71049898,22.09117315,71.69148422,17.6559852,18.94701956,26.21185328,24.53182463,18.12102152,10.88043414,27.52447998,24.74225542,57.85404866,16.35942929,22.34006691,18.29343692,9.880944039,8.339994613,9.568017711,19.80088847,15.79671909,17.76363331,21.00666835,9.288109932,18.60824045,12.05224788,24.4735509,23.38476701,16.21803577,20.67266454,13.85705182,14.21904638,14.14208151,27.04944901,14.56886892,13.33848766,23.01118491,34.42712504,41.22397618,22.01103088,41.25463135,15.80105571,23.59185341,26.73861911,20.77840873,25.66885731,0.47467219,19.43638567,35.62230782,23.81497235,14.85535309,10.47689018,18.02393913,50.42235174,27.6200227,22.64233599,4.181151506,4.750479265,6.586739199,9.257188012,10.38954038,34.79593973,23.7941151,69.77201379,12.94329267,111.8943388,15.71634305,24.09962024,16.73935688,14.10376061,28.17427986,24.94672179,25.061462,84.25415019,9.992120651,23.71571465,3.521544171,72.32589867,24.57593849,47.89931362,38.3194379,14.15933667,11.06707004,73.92338631,21.04129931,16.53782559,80.19017304,26.74536809,24.91717753,33.99538359,74.03479202,21.93843597,10.55446854,10.61022861,12.05132486,3.307239786,49.37055885,54.2164195,36.64009149,27.26609566,14.2380365,21.40497198,24.53196555,18.40913164,3.380634048,6.171274932,29.11235095,16.51999071,16.27730695,9.721140355,8.480013283,16.52175501,2.661910955,10.77245401,8.963200176,17.8762121,25.12765456,15.49201113,21.00099447,1.552525002,13.79998387,14.02010987,19.14078775,18.34128911,19.93823703,12.49401838,8.353431122,9.322916434,9.360356204,10.86971718,18.25342849,15.78634787,19.8867752,17.77382399,8.913673687,21.42016303,24.39472495,21.00555439,16.67076669,4.729552257,21.08442246,23.6230835,11.13437417,11.98097547,14.30914787,35.86882123,17.05930527,32.31190013,12.99717518,16.78945474,17.49574028,16.27471342,19.29945685,16.34842477,15.29157793,8.68498799,23.65106607,28.19220029,20.79239452,20.53798988,31.25731583,19.35197743,33.46985267,13.03296107,22.37464743,10.44666286,16.3440888,13.99076722,31.56656309,11.61286317,18.62053707,23.69688003
2,3.862866729,5.87655558,5.047340623,7.209218322,7.496262898,6.777979432,3.936746045,7.600011951,3.791039165,0.762974214,16.47872859,0.514300687,8.329187545,3.218416977,2.997503113,0.714003546,1.23609276,1.937978397,8.81922068,7.528809199,1.379521113,5.421018638,6.141140656,12.02059942,3.931007935,1.563436525,1.337551567,3.6685838,4.418974666,2.114469471,0.779777027,7.138766225,10.25195973,7.076796981,4.204895067,2.060419578,1.981043672,2.209341567,15.72332105,1.801129067,3.416965971,4.879711303,2.961559366,3.724148341,9.465562149,0.619063975,1.620002666,4.446704393,2.20566492,4.442180854,0.355849411,5.86786527,8.822495577,2.502202907,0.360541754,11.29429081,1.773281716,2.457884834,8.371321013,3.832452223,3.594112091,6.580507699,2.616289442,17.14099924,2.961281885,3.31522427,3.920744904,5.356132684,7.119182162,3.197854373,8.581343606,1.752044492,2.080177515,5.760146863,1.527732686,4.268743644,3.132843709,7.595470028,7.968040899,3.412183646,2.695647309,6.19672021,6.862595575,6.076583447,4.312207283,1.647351521,2.583550384,19.57214259,8.037818212,3.012922849,3.098728932,1.963539734,6.080666142,4.673881058,6.046354747,2.038441163,1.142128161,8.259300607,2.846214017,6.102401658,4.038802168,19.63609814,7.558128314,2.341225521,7.605686101,2.336619107,2.116580378,9.307484065,1.97538075,11.55803657,5.034441605,6.570462425,5.356942784,8.364215609,4.069763179,4.515616512,3.210234214,6.344837676,9.211101196,7.094763643,6.691549871,15.7144315,3.940091752,8.817460176,2.658519565,6.715173024,7.001830752,3.112942272,3.806405301,1.401332857,8.583013632,3.428995478,3.735799445,3.849822116,7.268657181,8.338629581,2.540833729,7.124481536,3.678077064,2.426524747,44.22660984,1.847355563,3.138092275,3.082098245,10.96063189,17.59505776,5.425912941,6.190522101,7.016676423,4.259956595,1.595097238,4.940623836,3.087124555,8.97541812,2.81153667,10.17056896,4.456974047,5.561900558,3.243254243,10.75779004,10.41690778,3.441136234,5.931914047,10.66813775,3.52339319,0.855089756,3.106093212,4.632174499,4.056317433,5.258570841,9.07649492,4.376849049,2.866564365,3.946636364,4.333597756,4.801710674,3.395599087,3.258342299,4.324221347,9.472420056,3.618734587,7.281185452,4.835411594,4.508641425,5.005255488,4.52194898,4.1206285,0.789889146,7.936737748,8.054020523,7.920776275,10.18026023,6.662936,6.379321965,4.216122965,5.037956805,3.871634255,2.381348996,7.619980431,3.899159076,5.680983488,2.898731905,2.9696883,3.059977219,4.797875705,3.615539723,9.285305807,2.324323236,8.542273524,5.143142044,1.574251012,0.894975125,8.048772178,9.032543487,12.15376353,10.06803182,6.462053205,6.347786853,5.444786254,3.382059228,4.939416924,2.291474293,5.084261767,1.86859346,3.540101021,2.936152104,3.782234598,4.168280799,3.468700763,3.197225454,3.515315476,3.047018536,4.296318915,2.055755875,6.377570026,4.233116421,3.840354946,5.415020761,4.549605535,1.051163792,9.216316238,6.854796681,8.987425281,2.734716753,2.642585088,5.18099703,3.725845747,2.67293532,8.03267461,4.337209797,2.783792526,6.298163547,3.017452908,3.844464654,3.659241203,2.511406265,2.263527133,2.657785766,3.641366884,3.310822662,3.335455275,2.958875937,4.857771696,3.601982327,3.968678788,2.841077857,2.755686794,3.470103721,7.29748574,7.9292165,5.402230206,3.594445747,4.52529999,5.283807009,9.025880407,3.061521452,1.845889002,5.453134284,4.094846358,1.089344286,2.069202966,2.697205871,2.166882332,1.089888565,1.070594157,1.570896909,3.717418077,3.477639473,3.921540601,2.584820959,2.490630012,3.042349933,21.9454664,2.252262647,2.460456813,2.816474009,2.805058701,1.693538681,6.706757186,4.686314187,1.972382178,0.82025246,9.869148357,3.558373514,1.722551732,2.282139908,4.570010876,3.985233807,2.52591141,1.327273784,2.618837937,7.239372996,6.844307863,2.728614999,8.212878487,5.785700176,7.438400214,6.806715813,3.096362514,1.505190361,2.618890686,4.303640744,3.913356673,1.440032449,6.44268004,3.074718296,2.227965171,3.10841172,2.488874081,3.526165117,1.946741952,3.092521623,11.36661017,4.943812974,4.617441174,3.216356592,4.641835523,6.210483137,3.63926135,7.582365033,7.82358326,1.230142746,4.600667763,2.039773724,6.377085854,1.812023185,2.471680481,2.617997836,2.606381043,4.674809821,2.723870006,3.842576199,4.442814167,1.787892525,3.326703023,9.633229652,3.914682856,2.89974947,3.653399821,4.62932316,4.593342432,2.865766596,11.49483322,4.558767762,1.599296531,1.523669874,13.16620804,1.179441892,3.979114428,1.767310173,3.636262995,1.060286699,15.77593508,1.610630333,6.498917477,2.744895852,2.551014587,10.56165508,2.284592,4.97544496,4.910658578,2.74908555,1.954204671,5.308761559,9.220176248,2.674630254,3.352777034,3.524781911,4.057828844,3.597770293,1.465377389,4.099363227,3.848421253,3.316550044,9.62796507,2.647849654,2.858558966,2.89348475,4.602261941,5.805017379,3.346706746,3.769808495,2.551055688,1.767912849,4.262545716,4.830262986,6.214243955,6.062873849,1.220818267,2.686464375,4.266458087,8.452713903,5.006619457,1.895503127,3.175175606,4.522063363,2.144690561,3.306366777,3.938277265,7.41621998,1.593969772,3.764832981,2.770177971,9.573954852,3.699171178,7.401813608,2.764938525,2.711799899,2.666854599,3.579896439,4.727069478,8.25703224,6.523048154,2.134597714,1.991705707,1.400553858,1.948945914,1.978170677,4.019751795,2.945347066,11.61805438,2.865830158,1.254041679,3.208691256,9.984368258,8.388116333,5.024420839,8.399712514,4.316111608,3.253637727,3.111831892,3.630851542,2.185015557,0.398857668,4.903846221,26.73601724,4.39792136,9.972372446,1.374227316,1.919691831,15.51532687,2.664808272,7.000963011,1.015245372,1.126448109,2.129891742,2.742872709,3.219137443,11.2590887,2.015027874,21.11274074,4.264461953,11.64348426,13.82869868,2.231712859,4.623153724,2.155323476,2.02694747,7.458823031,6.694728741,4.452452746,3.224621561,9.255702082,1.778658169,10.10176559,4.995509044,3.793279003,6.223523169,5.404679824,4.747494565,20.1602244,1.661239998,1.462598245,9.969318147,18.56621331,5.884835356,10.65357366,20.08753232,15.7342431,7.117423697,6.689335041,2.252393854,1.729644683,10.28321509,7.993080723,10.01108322,15.14884353,6.409451321,3.845915755,3.821000987,3.857752026,0.994431717,1.825408742,2.376309493,1.157072215,6.563445265,7.317137866,6.864555728,5.146724291,1.218998415,8.71932741,2.619648901,3.645682205,1.652653911,2.297943155,3.722154556,0.809020855,6.188731581,4.687416987,3.173153619,3.033947773,3.446249775,4.315737579,6.354238068,2.322245569,7.378163849,4.733375668,2.782209114,3.019106296,2.659075468,2.687473162,4.15559166,3.640805264,3.47338858,2.762937616,1.922518859,2.912361675,5.188166392,2.65114224,9.795046105,5.723678342,4.533324318,4.723837145,11.74107688,4.776333956,6.370096183,6.674600567,5.529057189,2.539678488,3.705622929,3.222383793,1.194123756,2.523332007,1.533432153,2.159599037,4.954297774,9.507259892,1.837749505,7.999901807,3.135668808,10.43238229,8.431565815,7.644758553,1.752278942,5.611626601,13.28056668,3.753858793,5.535658903,0.537034602
3,1.586366936,3.529328451,2.38694635,3.328059878,3.24620068,2.920087472,1.98138637,2.951905892,2.793617947,0.358755464,4.795056589,0.203879034,4.081947432,1.496847943,1.395772607,0.236157985,0.53218267,0.861325874,4.643706197,3.515149666,0.338212112,2.039574597,2.808425924,1.996923121,2.109828142,0.289661991,0.546071493,1.949233818,2.308297443,0.775618866,0.405719773,4.465344301,4.961142709,3.124797013,1.869887346,1.332589186,0.926484139,0.642288386,6.580245544,0.864167424,1.531230461,2.748552929,1.250536267,2.497177611,3.837507915,0.300408105,0.741629118,1.562147318,0.355612017,1.879831462,0.152979132,3.414830904,2.870864167,1.17956655,0.196661321,2.834522628,0.437035525,0.908092438,2.585481767,1.478089396,1.188528418,3.50161029,0.6521008,7.461697137,0.874347494,1.562296327,2.325719317,2.335193914,2.758985789,1.741235789,3.282007401,1.05472536,0.636962751,2.312312104,0.598895704,2.759543773,1.170998571,3.466286566,2.030653124,2.025696037,1.655520111,3.383805148,2.683925361,2.793234402,1.496242463,0.787039697,1.074573362,9.538176415,2.809892615,1.203052525,1.123158227,0.782382937,2.251432952,3.176954287,3.691329952,0.552611732,0.415954929,2.894840458,1.11328301,2.757387059,2.046618018,8.20008488,3.082526965,0.639233092,2.902633665,0.768329056,0.851729573,3.029952181,0.744138256,4.17775253,2.140057265,4.416304116,1.967668906,2.117417208,1.976700472,3.170272581,1.420451556,5.18182706,3.202834382,3.031063876,2.740332028,4.682676844,2.206168303,3.179097483,1.770627875,3.253401893,3.166305704,1.922095525,1.810850327,0.828545153,3.022516122,2.136280913,1.847002226,1.98643988,2.996450353,4.238648049,0.90718569,2.911607685,1.768891871,0.975205949,19.73065999,0.479314107,1.42351333,1.306979316,2.289837149,4.154470073,2.647242116,1.009423308,3.808458787,2.123711441,0.698257097,1.76729162,1.263650965,3.067736988,1.376948077,3.634646724,2.399738159,3.215017328,1.378008296,4.117895294,3.615455763,1.514025202,3.568826008,5.442891716,0.907868718,0.33302099,0.971266474,2.041268435,1.697247659,1.863229329,1.28810735,2.855112257,1.696018637,1.45586964,2.942854596,2.215768555,3.054542043,1.854822203,2.272953672,2.681124775,0.889689269,3.450355454,2.495858669,2.468143532,2.524822904,1.842601959,2.407607428,0.287777581,3.191282534,3.384822731,3.428968346,3.703654965,3.136300056,2.625794416,3.213370053,1.903408826,2.692771885,1.688901649,2.201661051,1.271979458,1.692522926,1.713016047,0.557191342,1.424552072,1.987743543,0.981623352,2.885585506,0.980066062,3.641487535,2.898085302,0.546733574,0.289965126,5.309103216,3.157612995,6.425933704,3.838651993,2.204274468,4.497131615,3.064986922,1.558451215,2.814259532,1.165685774,2.020306272,0.477434032,1.245577502,0.897815258,1.458862807,1.476835044,1.561206963,1.15511307,1.310286079,1.076186843,2.143323906,0.867350462,1.970620001,2.998899415,2.640229354,2.359297404,1.930961759,0.330944297,3.476040992,2.799239276,2.948657557,1.47884987,1.442345432,3.064430059,2.462617555,1.18415121,3.089398431,1.818328044,1.313529797,2.963637121,1.432599918,1.744309468,1.957062016,1.085568359,0.70288652,0.950017979,1.564979142,1.128309669,1.664806793,1.197259717,1.71408941,1.588839693,1.389609556,1.52971977,0.681847453,2.320070238,1.665438765,2.266993614,0.874886531,1.042590669,1.133322122,2.247984778,2.651033642,1.12671509,0.789872531,3.03212548,1.592082833,0.484503046,0.621382007,1.837212812,0.777054015,0.342754448,0.374826081,0.943112511,1.429496856,1.473824663,1.229755274,0.916729918,0.840709196,1.307527444,6.727657671,0.766808856,0.548427782,1.624160198,1.255010448,0.847919404,3.294755468,2.317913685,0.426316049,0.227284351,3.515841782,2.816057136,0.729664774,0.974514574,1.896929942,2.405435229,0.792253587,0.466723417,0.929159976,4.154614615,2.695055931,1.153203123,4.72943376,3.356691328,4.650482025,1.429237618,1.050635715,0.599382556,0.862998292,1.145534601,1.66739991,0.772381427,2.401878332,1.022810488,0.72229168,1.146614046,1.079418388,1.08575889,0.79121943,1.466175913,2.527847474,3.158177684,2.102432113,2.328721257,1.954066923,2.965592198,1.741774606,1.935444961,1.988768326,0.328231077,1.58423953,0.425728113,2.848498163,0.670614162,0.71524206,1.310398972,0.916440073,3.61432513,1.115918014,1.608979252,1.793355853,0.812041696,1.04152088,5.743946864,1.286419575,0.629695925,1.444150342,2.255408786,1.90138031,1.741409172,4.625646065,1.53870912,0.781303886,0.524499213,3.039859892,0.346869959,1.931772971,0.423666332,1.081784308,0.580915729,2.265205948,0.492175611,2.742315815,1.256410836,0.972564323,2.266240718,0.921681061,2.417220386,2.82694064,0.796699833,0.803024574,2.183212225,1.998779779,1.021538226,1.505130068,1.45129925,1.467903827,1.208031279,0.538475185,1.388336423,1.832183356,1.363145514,5.487929161,1.201895405,1.449932837,1.294920036,2.270532572,2.294533278,1.344672874,1.520386167,1.057151077,0.758300456,2.605964167,1.969848596,2.048007368,2.309916668,0.371048639,1.012197866,0.77961063,4.458358563,1.805466532,0.555452526,1.39819085,2.264025549,0.914444137,1.138968815,1.786211828,2.839350239,0.541392892,1.584035571,1.034038532,2.5160971,3.336406242,2.558261105,1.065179369,1.101129852,1.010136848,1.376986765,2.445046069,3.96478911,2.435556579,0.616952589,0.676676228,0.326305224,0.710370138,0.808353006,1.37492589,1.208587192,5.377223649,1.692431096,0.504072839,0.929779143,4.215418037,3.267032216,2.224756604,3.265668611,2.287377169,1.109871637,1.07566756,1.295762986,0.789928549,0.157778465,1.494841134,10.43623074,1.500446483,3.145460259,0.479362055,0.611333091,8.766533208,0.916729972,2.87024127,0.348590186,0.312600664,0.774474111,1.046720388,1.173613904,4.886259517,0.602552858,6.293732979,1.776813046,5.441270108,4.22725091,0.921371976,1.600214502,0.519298117,0.652049441,3.270351904,2.884795187,0.956188558,1.893827628,4.49027954,1.022836029,4.006075911,3.208135644,1.452281868,3.33540237,2.155532568,2.206138661,6.371985789,0.674272763,0.653561876,3.667288669,5.416973385,2.247577918,4.179037267,6.16906959,10.91676327,3.574877459,3.788981215,0.96712502,1.018484054,3.838175501,2.80088758,3.058255257,5.968751956,2.589219979,1.57930592,1.709919768,1.541065093,0.469215069,0.735569078,0.683377446,0.57847264,3.508856477,2.731969317,3.050808153,1.914987543,0.415696724,2.95938586,0.985576382,1.676695085,0.431012583,0.858866581,1.27950549,0.335550575,2.378098939,1.872492356,1.453889738,1.213276155,1.705117593,1.191275002,2.246785106,0.95473065,3.066469108,2.310128943,1.026749335,1.314589744,0.95426208,0.999549167,2.971876089,1.464640217,0.742945891,1.154861276,0.771076021,1.177278637,1.781633791,0.87787652,3.147918405,1.927930715,1.618183479,1.682076338,6.93913054,1.645868577,2.496041415,3.3105109,1.969556447,0.915224676,1.284066244,1.303972691,0.684691059,1.110733811,0.39263574,0.604697877,2.086131467,5.613775267,0.579616828,4.757983119,0.767977582,4.420160711,2.475867196,3.000184401,0.889731058,1.707927735,4.198999116,2.202383497,2.030329516,0.187500883
